time_s,phase,requested_cm_s,measured_cm_s,forward_cm,sideways_cm
1.000000000000000021e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.547916556848801406e+01,2.594507281886377914e-01,-1.146496657411981770e-02
2.000000000000000042e-02,1.000000000000000000e+00,1.200000000000000000e+02,3.422975144811434944e+01,6.282780580317971486e-01,-5.523543901429280728e-03
2.999999999999999889e-02,1.000000000000000000e+00,1.200000000000000000e+02,5.738605224461412746e+01,1.136177770897665029e+00,1.434164885535161617e-02
4.000000000000000083e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.184904499388565569e+01,1.580387166390676779e+00,1.279629155342331369e-02
5.000000000000000278e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.407264668753185077e+01,2.024657643543839480e+00,3.117794058134308599e-02
5.999999999999999778e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.390662993129669900e+01,2.464600712249342074e+00,4.356976620446907644e-02
7.000000000000000666e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.392625658391000343e+01,2.905485902489884253e+00,5.981763940000341812e-02
8.000000000000000167e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.384528908912871259e+01,3.345383029700705002e+00,7.432141022365797156e-02
8.999999999999999667e-02,1.000000000000000000e+00,1.200000000000000000e+02,4.374974925789922509e+01,3.784168839866845158e+00,9.049557678773302583e-02
1.000000000000000056e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.361598292219521511e+01,4.221367650375534630e+00,1.059826070181910385e-01
1.100000000000000006e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.353918002541060162e+01,4.657660136947838758e+00,1.221170650683528064e-01
1.199999999999999956e-01,1.000000000000000000e+00,1.200000000000000000e+02,3.903085734747000402e+01,5.067411462189031823e+00,1.227549599337464936e-01
1.300000000000000044e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.313314611171788471e+01,5.499875818425408625e+00,1.546567465533785213e-01
1.400000000000000133e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.014004440077905400e+01,5.925239371424820156e+00,1.466852754673279302e-01
1.499999999999999944e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.335652852283898540e+01,6.351297441627165696e+00,1.887568840383376245e-01
1.600000000000000033e-01,1.000000000000000000e+00,1.200000000000000000e+02,3.597831564930583426e+01,6.751585697702434885e+00,1.937769238423504292e-01
1.700000000000000122e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.508399133255731783e+01,7.180716577209899754e+00,2.249898426972909149e-01
1.799999999999999933e-01,1.000000000000000000e+00,1.200000000000000000e+02,3.955527556421202462e+01,7.597579115128971772e+00,2.457147977321198495e-01
1.900000000000000022e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.511172907393374487e+01,8.027439991139676323e+00,2.560333387588396570e-01
2.000000000000000111e-01,1.000000000000000000e+00,1.200000000000000000e+02,3.975360754580654543e+01,8.445795776679384304e+00,2.915835077248656870e-01
2.099999999999999922e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.545885807345282359e+01,8.875021831853091570e+00,2.916617333794800371e-01
2.200000000000000011e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.406486294514099455e+01,9.314449806381547958e+00,3.332277025813553117e-01
2.300000000000000100e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.369903459460233819e+01,9.753507503114285271e+00,3.366044002419195658e-01
2.399999999999999911e-01,1.000000000000000000e+00,1.200000000000000000e+02,3.836633592848172469e+01,1.015896477041657953e+01,3.551859528404587851e-01
2.500000000000000000e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.371487117404780065e+01,1.057627399665595469e+01,3.720253519478963211e-01
2.600000000000000089e-01,1.000000000000000000e+00,1.200000000000000000e+02,4.105459832201566428e+01,1.099611261607143575e+01,3.789519326597143301e-01
2.700000000000000178e-01,1.000000000000000000e+00,1.200000000000000000e+02,6.104778953359544147e+01,1.152490214632977050e+01,3.964758730439815193e-01
2.800000000000000266e-01,1.000000000000000000e+00,1.200000000000000000e+02,7.002943933889638117e+01,1.218688329258442060e+01,3.924651119885827488e-01
2.899999999999999800e-01,1.000000000000000000e+00,1.200000000000000000e+02,9.461956400760864483e+01,1.303574113406388335e+01,3.875429658012323753e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.037236836320105198e+02,1.404017365558964414e+01,3.712812809095638600e-01
3.099999999999999978e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.090810825749640713e+02,1.513213516886570709e+01,3.554858159616853808e-01
3.200000000000000067e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.176407347087360620e+02,1.627353846254639791e+01,3.341885657895979911e-01
3.300000000000000155e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.132544274658449979e+02,1.742502833452338962e+01,3.205979279024600004e-01
3.400000000000000244e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.186062363687340451e+02,1.859236435758892370e+01,3.002145305446792256e-01
3.500000000000000333e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.133625588227526748e+02,1.974549792589895958e+01,2.820257679652564131e-01
3.599999999999999867e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.139631610823249588e+02,2.088452109008742497e+01,2.536261211180315112e-01
3.699999999999999956e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.149669115934335792e+02,2.203011641367409723e+01,2.368209840391003462e-01
3.800000000000000044e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.135738779059013410e+02,2.318652093467684949e+01,2.033267309383315069e-01
3.900000000000000133e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.137770655188295592e+02,2.434539217818436185e+01,1.934981182064913485e-01
4.000000000000000222e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.191728398409660912e+02,2.551740945810143657e+01,1.698869934734137943e-01
4.100000000000000311e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.150222795319392048e+02,2.668440190792167854e+01,1.507784576597800130e-01
4.199999999999999845e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.202296733316149329e+02,2.788413193215957264e+01,1.264636703097134773e-01
4.299999999999999933e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.171948027683574338e+02,2.906833098612152710e+01,1.011982420527104548e-01
4.400000000000000022e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.221616647563228355e+02,3.027348352399338793e+01,8.849919462159616668e-02
4.500000000000000111e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.174758175784102150e+02,3.146698175581729728e+01,7.790701944441745519e-02
4.600000000000000200e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.171304897369135176e+02,3.265484740493838700e+01,8.235516944519044591e-02
4.700000000000000289e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.223163203040664087e+02,3.385979248725600854e+01,7.598080139237486930e-02
4.799999999999999822e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.212601253796826768e+02,3.506075976980070408e+01,6.830096976724610303e-02
4.899999999999999911e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.222000873183027352e+02,3.628143380210760682e+01,5.210742063142795311e-02
5.000000000000000000e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.220802065210640563e+02,3.749485128140134549e+01,2.659937564042437821e-02
5.100000000000000089e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.217453937420049641e+02,3.871384228819859885e+01,6.898028340541307452e-03
5.200000000000000178e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.210275226521781349e+02,3.992700383256699581e+01,-1.347843499185551880e-02
5.300000000000000266e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.168215296121147162e+02,4.111350531817290488e+01,-3.170328392193463157e-02
5.400000000000000355e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.231048524520578269e+02,4.232153031103545970e+01,-5.557753260809298462e-02
5.500000000000000444e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.215935757902859535e+02,4.352738757620303289e+01,-7.732157534495190387e-02
5.600000000000000533e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.215320746642570668e+02,4.474653414330073531e+01,-1.004410595640644471e-01
5.700000000000000622e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.213103620574698169e+02,4.596052560350917560e+01,-1.209474448394432522e-01
5.799999999999999600e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.176263574491706692e+02,4.715289293780207203e+01,-1.429823069480628817e-01
5.899999999999999689e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.220339102721117257e+02,4.835465659100168523e+01,-1.573596866229182989e-01
5.999999999999999778e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.207200038640556414e+02,4.955210403375303230e+01,-1.694458589548271943e-01
6.099999999999999867e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.202285166320891818e+02,5.075853837540865499e+01,-1.749333160340381110e-01
6.199999999999999956e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.202027664357697461e+02,5.196056695706585771e+01,-1.780758135886585658e-01
6.300000000000000044e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.207178767627726614e+02,5.316690749384730452e+01,-1.844279229137678611e-01
6.400000000000000133e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.162382127492431323e+02,5.434793599279973364e+01,-1.954698250788023950e-01
6.500000000000000222e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.224576550666486128e+02,5.555208252527377510e+01,-2.082200671091275213e-01
6.600000000000000311e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.165913601766238799e+02,5.672755075125457580e+01,-2.305196836380576653e-01
6.700000000000000400e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.212369446343788582e+02,5.793661589876869300e+01,-2.417651099127827163e-01
6.800000000000000488e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.169425959037538405e+02,5.912509682082812645e+01,-2.410468218018878006e-01
6.900000000000000577e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.213233786197530577e+02,6.034091633569997981e+01,-2.497669791010571072e-01
7.000000000000000666e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.213931055140337065e+02,6.155488209097741503e+01,-2.459238746649304863e-01
7.099999999999999645e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.176245517677506029e+02,6.274903233591611951e+01,-2.437368373081355288e-01
7.199999999999999734e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.231570297558611742e+02,6.396266580305811544e+01,-2.367521476856702112e-01
7.299999999999999822e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.185720139073179240e+02,6.516765505520432100e+01,-2.325955472471751551e-01
7.399999999999999911e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.231284269466410564e+02,6.639129862906798962e+01,-2.215543582300059655e-01
7.500000000000000000e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.229031284261325112e+02,6.762176447662675116e+01,-2.135966986684167401e-01
7.600000000000000089e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.185552788945347373e+02,6.882638363398466197e+01,-2.086789455299369322e-01
7.700000000000000178e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.238182051925379028e+02,7.004579608937154944e+01,-2.146218161783155221e-01
7.800000000000000266e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.225876713949326700e+02,7.126052241353148986e+01,-2.206062148516991506e-01
7.900000000000000355e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.185118103629766608e+02,7.246567472607291904e+01,-2.389763475744171028e-01
8.000000000000000444e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.228455853617487605e+02,7.368940734896631284e+01,-2.465131472122654988e-01
8.100000000000000533e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.227461306606639795e+02,7.491973621440439501e+01,-2.520295243037913302e-01
8.200000000000000622e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.219660762246292478e+02,7.613993443380518045e+01,-2.510062278948718695e-01
8.300000000000000711e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.214903779415522678e+02,7.735678332240743771e+01,-2.480705666736164605e-01
8.399999999999999689e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.169693383012788672e+02,7.854597918714219418e+01,-2.478713020004659484e-01
8.499999999999999778e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.227019942696383907e+02,7.975292946296306695e+01,-2.509438824772619037e-01
8.599999999999999867e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.185320761628274653e+02,8.095405255571213843e+01,-2.619128634131778210e-01
8.699999999999999956e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.236680489402229171e+02,8.218931145284828688e+01,-2.786579082763261939e-01
8.800000000000000044e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.237563407475209800e+02,8.342756925686441605e+01,-3.007993283491646186e-01
8.900000000000000133e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.192373132035952352e+02,8.463731400058202325e+01,-3.291307588592373712e-01
9.000000000000000222e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.244128833471751960e+02,8.586334554137306441e+01,-3.460676093011837429e-01
9.100000000000000311e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.193313622562491645e+02,8.706871538406149114e+01,-3.593288872439064363e-01
9.200000000000000400e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.248491821881822403e+02,8.829891846434823321e+01,-3.734068789684304446e-01
9.300000000000000488e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.234074400529880933e+02,8.952400333643444696e+01,-3.857362380535833690e-01
9.400000000000000577e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.226215931118042022e+02,9.075567641303391042e+01,-4.015408661117208511e-01
9.500000000000000666e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.220830621138197785e+02,9.197892154445258939e+01,-4.166108652544301405e-01
9.599999999999999645e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.220445769047163083e+02,9.319938270387346790e+01,-4.347301798191181010e-01
9.699999999999999734e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.180662702559966135e+02,9.439863574981318095e+01,-4.596507967782466619e-01
9.799999999999999822e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.226475712513978067e+02,9.560768110086092975e+01,-4.839278089304019925e-01
9.899999999999999911e-01,1.000000000000000000e+00,1.200000000000000000e+02,1.214959120888328528e+02,9.681149678272552705e+01,-5.099103345805757748e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+02,1.214326427118489704e+02,9.802728474662885105e+01,-5.316516915069748883e-01
1.010000000000000009e+00,1.000000000000000000e+00,1.200000000000000000e+02,1.216594592258800134e+02,9.924326551108211447e+01,-5.474966416233386646e-01
1.020000000000000018e+00,1.000000000000000000e+00,1.200000000000000000e+02,1.145637558910260765e+02,1.004221220710436882e+02,-5.630809703011913081e-01
1.030000000000000027e+00,1.000000000000000000e+00,1.200000000000000000e+02,1.262238865791971705e+02,1.016417841632399899e+02,-5.661956480437594363e-01
1.040000000000000036e+00,1.000000000000000000e+00,1.200000000000000000e+02,1.233904592272970575e+02,1.028655825938264741e+02,-5.707010819673432600e-01
