time_s,phase_idx,phase_name,x_m,y_m,vx_cm_s,vy_cm_s,speed_cm_s
0.01,1,STRAIGHT,0.0,0.0,2.3418929548536966,0.4755666108020262,2.389691656532931
0.02,1,STRAIGHT,0.001833285945627136,0.0003840718831760806,27.341588616373674,5.782520748747104,27.94637748039458
0.03,1,STRAIGHT,0.0026824740423180143,0.000509164425134323,1.223851793108488,1.4851893914212124,1.924474146328023
0.04,1,STRAIGHT,0.0036297716790913565,0.000632445314225967,14.836748404751482,1.0472089250993033,14.873659595361973
0.05,1,STRAIGHT,0.003929637623850291,0.0007685987336843308,-1.149665733835621,1.8481866580937614,2.1765856800759265
0.060000000000000005,1,STRAIGHT,0.0044760909568944685,0.0008993879374348465,10.574411196877842,1.2354281619149163,10.646335280457212
0.07,1,STRAIGHT,0.005139980654120593,0.0010989700303738331,4.120861084311317,2.493752068132101,4.81666850151685
0.08,1,STRAIGHT,0.006304341804864333,0.0013639110792064216,13.502964775590076,2.9375155457198137,13.818793554872
0.09,1,STRAIGHT,0.008039456861897804,0.00170315771460737,19.745961358596876,3.69475331757328,20.088658293995636
0.09999999999999999,1,STRAIGHT,0.010321763906970927,0.0020962192933809617,24.627372885251173,4.0019133645426646,24.950406926671754
0.10999999999999999,1,STRAIGHT,0.01303339052121387,0.002507801993897482,28.547384166495227,4.187635326080877,28.85289296368222
0.11999999999999998,1,STRAIGHT,0.015958171187341372,0.002930143595312587,29.610605034403186,4.245136601989305,29.913360146813538
0.12999999999999998,1,STRAIGHT,0.018983787318553186,0.003359722075989127,30.50105467295015,4.31894447872478,30.805318007977156
0.13999999999999999,1,STRAIGHT,0.02177483519079325,0.0037494845236166127,26.017128407338074,3.6387177640178123,26.270349018048783
0.15,1,STRAIGHT,0.024772157930153416,0.004165454597970894,32.484670541675676,4.528131948622283,32.7987469142549
0.16,1,STRAIGHT,0.027940281868841996,0.004640475092846527,33.869702551622375,5.145750508262378,34.25836393099731
0.17,1,STRAIGHT,0.031548482198875655,0.00519629852354183,37.117877422135756,5.753446100175273,37.56113638260053
0.18000000000000002,1,STRAIGHT,0.03548560766217489,0.005796489147513718,40.728420486410336,6.137672022080018,41.18829024332611
0.19000000000000003,1,STRAIGHT,0.0398288242175696,0.00642518337324649,45.022274294661,6.359004796740771,45.46913375762359
0.20000000000000004,1,STRAIGHT,0.04463480528751,0.007073918345756061,49.78089375752981,6.562833122480158,50.21163373056082
0.21000000000000005,1,STRAIGHT,0.049840720349260625,0.007721644328393035,53.19926286370289,6.571553981782937,53.60360893612336
0.22000000000000006,1,STRAIGHT,0.05515760030801499,0.008381252541315914,53.06981145761283,6.6626417624331244,53.48640652914618
0.23000000000000007,1,STRAIGHT,0.060471474053717125,0.009049288303304655,53.11204684412842,6.74246290553056,53.53830708946023
0.24000000000000007,1,STRAIGHT,0.06554379008199308,0.009792589134365606,48.9500337136592,7.933252140926523,49.588731483068685
0.25000000000000006,1,STRAIGHT,0.07079484429939233,0.01050023400924445,54.737964873055866,6.556815290884227,55.129271945153334
0.26000000000000006,1,STRAIGHT,0.07618056690482407,0.011172145291289882,54.87153654268063,6.423014174175864,55.24618207293967
0.2700000000000001,1,STRAIGHT,0.08168190321865655,0.011797453608307279,55.028295692517496,6.1718158086334505,55.37332062644281
0.2800000000000001,1,STRAIGHT,0.08717904984477794,0.012413562792228147,54.91085867676724,6.159044351003916,55.255191864091266
0.2900000000000001,1,STRAIGHT,0.09268292009375935,0.01301256425498877,55.0466446690151,5.925865394824216,55.36469064299361
0.3000000000000001,1,STRAIGHT,0.09813465105673518,0.013538301808605734,55.46615494913676,5.624018477857196,55.75055092715163
0.3100000000000001,1,STRAIGHT,0.10368422444696666,0.014085613561994753,55.49058517268088,5.373506490950308,55.75015349588588
0.3200000000000001,1,STRAIGHT,0.10925380481525455,0.014610145578432834,55.829368999398824,5.173594986093002,56.06856987610046
0.3300000000000001,1,STRAIGHT,0.11487126002106544,0.01511617558787623,56.40944771159062,5.003423759473675,56.63091064466068
0.34000000000000014,1,STRAIGHT,0.12056186074519094,0.01560732335841121,57.223373550359355,4.870547137433843,57.43027694432556
0.35000000000000014,1,STRAIGHT,0.1263248929658366,0.016083502695927496,57.68616720427331,4.680410961358043,57.87573009031141
0.36000000000000015,1,STRAIGHT,0.13183193393146747,0.01650843347664937,53.00627978377954,3.9880792033607038,53.15609534426503
