time_s,phase,x_m,y_m,z_m,vx_cm_s,vz_cm_s,shell_clearance_cm
0.0,edge,4.778621886774114,-3.6440053982450737,0.3777353862993711,14.431269650396047,-3.037037648156284,22.77353862993711
0.01,edge,4.780928103186778,-3.6446587350963235,0.3760778929596624,25.360186064747577,-15.388471705006298,22.60778929596624
0.02,edge,4.782750329408091,-3.6453522090207953,0.3740464941244614,13.073380234111925,-24.03812033688014,22.40464941244614
0.03,edge,4.784464248641624,-3.6460120898480493,0.3713816387252357,18.836878325703907,-28.65508744566554,22.138163872523574
0.04,edge,4.786020961549302,-3.6466888052794757,0.3682856571488868,13.680639405559914,-31.83306214607655,21.82856571488868
0.05,edge,4.787648315848738,-3.6473391551483574,0.3653566322161159,16.343871837287463,-26.975536155641684,21.535663221611593
0.06,edge,4.789444718266409,-3.6479435515569807,0.36323267764493944,18.903690304102405,-17.148760979618245,21.323267764493945
0.07,edge,4.791449384546419,-3.6485084165894146,0.36218996445721613,20.710713269939667,-6.093033605586458,21.218996445721615
0.08,edge,4.793610400655894,-3.6490453673957517,0.36218883191385726,22.13972623202317,3.6292063322464188,21.218883191385725
0.09,edge,4.795893382638658,-3.6495577501731646,0.3629840313081373,23.2410812899036,9.887415163526253,21.29840313081373
0.1,edge,4.798236241849917,-3.6500364145030884,0.3637974372410874,23.26819743660476,6.1129128612326555,21.37974372410874
0.11,edge,4.800497793028075,-3.650527758237924,0.36408567027253286,22.418581519384087,0.48493378067425497,21.408567027253287
0.12,edge,4.802701208160851,-3.6510164040521587,0.36383224051412355,21.755538988723135,-4.461631029483779,21.383224051412355
0.13,edge,4.804851784486079,-3.6514938697482116,0.36321651727606313,21.356440017013256,-7.082502414899484,21.321651727606312
0.14,edge,4.8069858626490065,-3.651957430255556,0.36249478570291616,21.334228776452537,-7.1261309856733455,21.249478570291615
0.15,edge,4.809139164048117,-3.6524058865785256,0.36190041830948316,21.65757502430883,-5.079618981445587,21.190041830948317
0.16,edge,4.811339693634381,-3.6528423500105682,0.3615878965194451,22.20761715318548,-1.8679013621284448,21.158789651944513
0.17,edge,4.813601017165787,-3.6532688644024605,0.36162147205941225,22.843373669722915,1.6387243496585497,21.162147205941224
0.18,edge,4.815927190412579,-3.653684752339981,0.3619790063095207,23.48271450725243,4.584005010733306,21.19790063095207
0.19,edge,4.818311549642147,-3.654085975684084,0.36256496856377785,24.006364127769427,6.368754095274845,21.256496856377787
0.2,edge,4.82073416231781,-3.6544629902393435,0.36324002671266076,24.245133619546593,6.587869886953017,21.324002671266076
0.21,edge,4.823146791976847,-3.6548078979416845,0.3638118033249754,24.057660870442607,4.84388703726316,21.381180332497543
0.22,edge,4.825544780363185,-3.6551132304781304,0.3641507820131349,23.9099097278849,2.280285784093297,21.415078201313488
0.23,edge,4.827751197711914,-3.6554076367886874,0.3642529752156332,23.444484153018575,-0.21628255915826874,21.425297521563323
0.24,edge,4.8301087067066195,-3.6556530237608524,0.3640777761473847,23.392838918379002,-2.807498328662218,21.407777614738468
0.25,edge,4.832430970817642,-3.6558771594171287,0.36367944529073865,23.124523845194783,-4.761869273318095,21.367944529073863
0.26,edge,4.834742704148979,-3.656080442109251,0.3631402699787325,23.107115309248833,-5.799095055372247,21.31402699787325
0.27,edge,4.837064458519508,-3.6562652473855164,0.3625560360088945,23.27753040761688,-5.866120500625508,21.255603600889454
0.28,edge,4.839412565980084,-3.6564340231439187,0.3620161335843447,23.597735184750857,-5.113053266070481,21.20161335843447
0.29,edge,4.841801779333504,-3.656589321476026,0.36159038820312905,24.0637957639202,-3.7645578151644363,21.159038820312905
0.3,edge,4.844245520396714,-3.656733302361057,0.36132026367263986,24.653688744262254,-2.1259609280322307,21.132026367263986
0.31,edge,4.846753705880569,-3.6568673464494688,0.36120982723267353,25.323800028985122,-0.608265433870325,21.120982723267353
0.32,edge,4.84932963058139,-3.656991014282629,0.36123111688837095,26.00310490472037,0.5475241707308539,21.123111688837096
0.33,edge,4.851969021518744,-3.657104236896951,0.3613343823950396,26.60870622627101,1.1322894120898666,21.133438239503963
0.34,edge,4.854662626778994,-3.6572088966322664,0.36145642869556716,27.108128900564733,1.0383611159036292,21.145642869556717
0.35000000000000003,edge,4.857399459878629,-3.6573024529378504,0.36151872821287956,27.4951224111351,0.1011197528849768,21.151872821287956
0.36,edge,4.860170236386409,-3.6573852062960928,0.3614560814457201,27.81630100736805,-1.289547525623245,21.145608144572012
0.37,edge,4.862970959556719,-3.657464405288925,0.3612418657677023,28.116066864046964,-2.859864385623031,21.124186576770228
0.38,edge,4.8658075544564126,-3.6575445043358297,0.3608916111500884,28.52257379119741,-3.941448345696044,21.08916111500884
0.39,edge,4.868685711218295,-3.657633734040154,0.36049615803088153,28.924459567426148,-3.9893608846942263,21.049615803088155
0.4,edge,4.87154733448886,-3.657739167330751,0.36016333907162085,28.704573170093507,-3.079757849121429,21.016333907162085
0.41000000000000003,edge,4.874417452470071,-3.657880311190101,0.35993916670987286,28.680013394155658,-1.7801600525471666,20.993916670987286
0.42,edge,4.877286828962405,-3.6580663917665865,0.35986275488985453,28.65903056295525,-0.20966013251203722,20.986275488985452
0.43,edge,4.8801506657922005,-3.6583109706505983,0.35994483610372313,28.578819022160197,1.292397702240321,20.994483610372313
0.44,edge,4.882999751726203,-3.658634343790911,0.360163731798635,28.347925794746597,2.663273134338429,21.0163731798635
0.45,edge,4.885810626979848,-3.6590458719334857,0.36051668157650174,27.952088192094443,4.0238097775635335,21.051668157650173
0.46,edge,4.888585382154105,-3.6595388407978167,0.36100303445408466,27.617776837070267,5.286821562891258,21.100303445408468
0.47000000000000003,edge,4.891332688655984,-3.6601035850189527,0.36159196786474007,27.385351667758044,6.1163402351407745,21.15919678647401
0.48,edge,4.894064168710796,-3.660730864799373,0.3622263663168454,27.273991009510105,6.306504813819445,21.22263663168454
0.49,edge,4.896791509859026,-3.661412337343835,0.3628388998425166,27.27444927329406,5.8175484165625315,21.283889984251662
0.5,edge,4.899524372074136,-3.662140548017467,0.3633672703532054,27.36070934678554,4.76062829969156,21.33672703532054
0.51,edge,4.902269423070865,-3.662908913411463,0.36376834038546224,27.501616208001916,3.3761259242532136,21.376834038546225
0.52,edge,4.9050304425089895,-3.663712779919489,0.3640271557382295,27.66997941926454,1.9650261541011425,21.402715573822952
0.53,edge,4.907809291438047,-3.664549134600389,0.3641558403981612,27.853399374619443,0.7585270522781172,21.415584039816117
0.54,edge,4.910607420954731,-3.665415470262099,0.364185275892697,28.05169501171302,-0.07623751194016909,21.4185275892697
0.55,edge,4.913426905075258,-3.6663090551233757,0.364157898797663,28.27565469643951,-0.4683805583611455,21.415789879766304
0.56,edge,4.916271387133856,-3.667227156313196,0.3641166807103293,28.543273359303043,-0.45242822124521376,21.41166807103293
0.5700000000000001,edge,4.9191463878266015,-3.6681678447155925,0.3640962202685157,28.872918518479363,-0.14065960172192446,21.40962202685157
0.58,edge,4.9220359230463,-3.669142250280182,0.36412170115611153,29.022215989135063,0.335600886836791,21.412170115611154
0.59,edge,4.924963318506073,-3.670140016998866,0.364184101586023,29.451576084700143,0.6659474248053984,21.4184101586023
0.6,edge,4.927947689659911,-3.6711542866022784,0.36426894943729915,30.078779205523396,0.8001807311682091,21.426894943729916
0.61,edge,4.93099839546451,-3.672182205688459,0.36434936595349826,30.76069320117946,0.6303349515352181,21.434936595349825
0.62,edge,4.934115772296561,-3.6732224149398767,0.3643913059113784,31.43226361573939,0.12130246417779685,21.439130591137843
0.63,edge,4.937300555439946,-3.67427283645296,0.3643680438359538,32.118880616143535,-0.5514217487174464,21.43680438359538
0.64,edge,4.94038472515629,-3.675334467383701,0.36433497470805953,32.62129131869496,-0.568974605490541,21.433497470805953
0.65,edge,4.943699505271453,-3.6763929934453823,0.36427728069994436,33.17998334945699,-0.6345889621133061,21.427728069994437
0.66,edge,4.94702897569821,-3.6774491053336384,0.3642281152309918,33.35313746629495,-0.5057344564412437,21.42281152309918
0.67,edge,4.950350896162606,-3.6784836853802485,0.3642027805991441,33.219118200156004,-0.29944604748140485,21.420278059914413
0.68,edge,4.953669684540948,-3.6794983672058645,0.3641815186332964,33.14303182594121,-0.3033327753525095,21.41815186332964
0.6900000000000001,edge,4.9569802644261545,-3.6804926255755572,0.36414913590929954,33.027266362967985,-0.4976524119296195,21.414913590929956
0.7000000000000001,edge,4.960272145531367,-3.681459871319659,0.36409077374654947,32.78633825336734,-0.8016739273329293,21.40907737465495
0.71,edge,4.963533973173732,-3.6823904562946423,0.3640085917052834,32.443099630057,-0.995189122023834,21.40085917052834
0.72,edge,4.966757611063468,-3.6832784578858613,0.3639200264687079,32.0396324795516,-0.9798525273935593,21.392002646870793
0.73,edge,4.969936510188081,-3.684119846659697,0.3638370694503396,31.61841475671435,-0.8420813542646411,21.38370694503396
0.74,edge,4.973078544430267,-3.6849135228580736,0.36377778404358546,31.280901456611033,-0.5580415852503506,21.377778404358548
0.75,edge,4.976191969285042,-3.6856578102118416,0.3637494190120924,31.02646715740619,-0.24775349102744937,21.37494190120924
0.76,edge,4.979285061968286,-3.6863511671805,0.3637481533824238,30.854958989875737,-0.01991425321627018,21.374815338242378
0.77,edge,4.982365677346015,-3.6869925287477,0.36376287739603136,30.758772241376146,0.09431043643966745,21.376287739603136
0.78,edge,4.985441195093228,-3.687581073919668,0.3637818605153374,30.738916671633763,0.10113975688078954,21.37818605153374
0.79,edge,4.988519656820527,-3.6881186004223836,0.3637954709193087,30.801625383225872,0.022169430447596207,21.37954709193087
0.8,edge,4.991609762541629,-3.6886095782876915,0.3637974146065273,30.950867758951755,-0.12215948135768698,21.37974146065273
0.81,edge,4.994720090217944,-3.6890577362166104,0.3637809161906061,31.185461160337795,-0.3382608319101369,21.37809161906061
0.8200000000000001,edge,4.997859157605411,-3.6894663694072545,0.36373888251241904,31.504896483359467,-0.6248761124082025,21.373888251241905
0.8300000000000001,edge,5.001035482503022,-3.689838425780474,0.36366484487263734,31.90949188643648,-0.9718170671702503,21.366484487263733
0.84,edge,5.004257491027686,-3.6901767328183395,0.36355333037841997,32.39911309515009,-1.367260675598713,21.355333037841998
0.85,edge,5.0075308256830935,-3.690484309908789,0.3633984844166684,32.94979100214942,-1.8056975496155572,21.339848441666838
0.86,edge,5.010863683898354,-3.6907633091229552,0.36319909337263057,33.582128867780966,-2.2556355680548186,21.319909337263056
0.87,edge,5.014266039692935,-3.691015480085128,0.36295486973796465,34.31749994044353,-2.710203582632631,21.295486973796464
