time_s,jump_idx,requested_height_cm,phase,height_cm,vz_cm_s,measured_rise_cm,ground_contact
0.01,0,20.0,stand,19.77661225520015,12.082145349843621,0.0,1
0.02,0,20.0,stand,19.910672080471414,14.066094858417447,-0.10784632972390129,1
0.03,0,20.0,stand,20.054065014992727,14.259462036702903,-0.24190615499516677,1
0.04,0,20.0,stand,20.17296420924568,9.628220929659278,-0.3852990895164776,1
0.05,0,20.0,stand,20.227585386598037,2.576532662008869,-0.5041982837694331,1
0.060000000000000005,0,20.0,stand,20.20942669498755,-4.657665075651836,-0.5588194611217873,1
0.07,0,20.0,stand,20.126222069096002,-10.4909703329903,-0.5406607695113003,1
0.08,0,20.0,stand,19.99762563527184,-14.127327838620626,-0.45745614361975273,1
0.09,0,20.0,stand,19.847554375126254,-15.2362847957345,-0.32885970979559254,1
0.09999999999999999,0,20.0,stand,19.702507565031286,-13.668068332689604,-0.17878844965000806,1
0.10999999999999999,0,20.0,stand,19.58754328591116,-9.791388845957865,-0.033741639555040503,1
0.11999999999999998,0,20.0,stand,19.521359311120438,-4.3440791791528826,0.08122263956508724,1
0.12999999999999998,0,20.0,stand,19.514695002541423,1.7996398948216141,0.14740661435580782,1
0.13999999999999999,0,20.0,stand,19.56867830191047,7.720008615035709,0.15407092293482638,1
0.15,0,20.0,stand,19.676458388595297,12.626232487090338,0.10008762356577827,1
0.16,0,20.0,stand,19.82358803317629,15.859489176093492,-0.007692463119049475,1
0.17,0,20.0,stand,19.991433107755853,17.114548916856357,-0.15482210770004223,1
0.18000000000000002,0,20.0,stand,20.13666734172686,11.9683254886058,-0.322667182279604,1
0.19000000000000003,0,20.0,stand,20.199736861373736,2.4941427362377917,-0.4679014162506129,1
0.20000000000000004,0,20.0,stand,20.167357646674517,-6.95450087674067,-0.5309709358974901,1
0.21000000000000005,0,20.0,stand,20.049492479703627,-14.673228865531266,-0.4985917211982688,1
0.22000000000000006,0,20.0,stand,19.87166363609226,-19.396403771565964,-0.38072655422737856,1
0.23000000000000007,0,20.0,stand,19.66815303586369,-20.485301110981684,-0.20289771061601514,1
0.24000000000000007,0,20.0,stand,19.476280281835905,-17.8433853200188,0.0006128896125584538,1
0.25000000000000006,0,20.0,stand,19.330233284315597,-12.120913170088556,0.1924856436403416,1
0.26000000000000006,0,20.0,stand,19.25602548326029,-4.09053569035615,0.3385326411606493,1
0.2700000000000001,0,20.0,stand,19.267004598527425,4.386862252049702,0.41274044221595585,1
0.2800000000000001,0,20.0,stand,19.35745489837331,11.977496125487548,0.40176132694882405,1
0.2900000000000001,0,20.0,stand,19.514230410789178,17.868093154056716,0.31131102710293956,1
0.3000000000000001,0,20.0,stand,19.71882585399382,21.61717536428178,0.15453551468706805,1
0.3100000000000001,0,20.0,stand,19.933657824515862,20.410018195976566,-0.05005992851757346,1
0.3200000000000001,0,20.0,stand,20.091474573220307,12.069236147100035,-0.2648918990396154,1
0.3300000000000001,0,20.0,stand,20.15307169860826,2.1843985874113794,-0.4227086477440578,1
0.34000000000000014,0,20.0,stand,20.116002814886087,-7.54069876287385,-0.48430577313201273,1
0.35000000000000014,0,20.0,stand,19.989109453412603,-15.851453020200706,-0.4472368894098383,1
0.36000000000000015,0,20.0,stand,19.7956068057874,-21.138985337162396,-0.32034352793635645,1
0.37000000000000016,0,20.0,stand,19.580218105264443,-21.097546904582074,-0.12684088031115204,1
0.38000000000000017,0,20.0,stand,19.39420084795094,-16.304869967965548,0.08854782021180396,1
0.3900000000000002,0,20.0,stand,19.28059901806412,-7.779860679851638,0.27456507752530723,1
0.4000000000000002,0,20.0,stand,19.258734081009933,1.4861942729888291,0.38816690741212967,1
0.4100000000000002,0,20.0,crouch,19.087137929440576,-17.22579880517118,0.38816690741212967,0
