time_s,x_m,y_m,vx_cm_s,vy_cm_s,speed_cm_s,phase,drift_m
0.76,0.692628762112358,-0.08397905976150673,121.17137229821839,-1.9711588888451943,121.18740418046143,STRAIGHT CRUISE,0.0
0.77,0.7052119943207086,-0.08434858844117885,125.6591915901456,-4.820284171390086,125.75161060830145,STRAIGHT CRUISE,0.0
0.78,0.7178398744274432,-0.08467393068319014,126.46692006527218,-2.2554153051067467,126.48703004258759,STRAIGHT CRUISE,0.0
0.79,0.730606052067125,-0.08508004298518689,126.79860531526552,-4.836140496814686,126.89079779401426,STRAIGHT CRUISE,0.0
0.8,0.74369141678224,-0.08544041298619348,131.6675926221749,-3.2761670655002004,131.7083452844203,STRAIGHT CRUISE,0.0
0.81,0.7569137336351097,-0.08572913237289316,132.03721153021203,-2.653260310867027,132.0638671967135,STRAIGHT CRUISE,0.0
0.8200000000000001,0.7696901820105791,-0.08586521563394589,124.14070907523089,-0.4757289113056846,124.14162061008453,STRAIGHT CRUISE,0.0
0.8300000000000001,0.7828803282063838,-0.0861327169158129,133.75698312689212,-2.5422067246987217,133.78113974039394,STRAIGHT CRUISE,0.0
0.84,0.7960504495738615,-0.08636717744412617,129.91325628288874,-2.2560633385931546,129.9328441149938,STRAIGHT CRUISE,0.0
0.85,0.809316820105694,-0.086567981556275,134.3510236058729,-1.8295395445356748,134.3634800043927,STRAIGHT CRUISE,0.0
0.86,0.8224417552551966,-0.0867499252054585,129.17072458951583,-1.8063551790853072,129.18335422961255,STRAIGHT CRUISE,0.0
0.87,0.8354303598473699,-0.0870160816006912,130.0096991582761,-3.2708703022999552,130.05083801252465,STRAIGHT CRUISE,0.0
0.88,0.8485476649175824,-0.08720577107876944,130.019376228873,-1.8178684400965441,130.0320838893645,STRAIGHT CRUISE,0.0
0.89,0.8618387754341987,-0.08738938785980559,132.76853933512078,-1.9999670133855791,132.78360179342982,STRAIGHT CRUISE,0.0
0.9,0.8746514042578248,-0.08746423653686944,124.75318587581337,0.2481768474871266,124.75343272997688,STRAIGHT CRUISE,0.0
0.91,0.8879768393086366,-0.08760309058640667,135.8311175907175,-1.1093704681719456,135.83564778355856,STRAIGHT CRUISE,0.0
0.92,0.9012420123636196,-0.0876683414450985,130.50735120549896,-0.36681071351489963,130.5078666930657,STRAIGHT CRUISE,0.0
0.93,0.9146466177906248,-0.08768423072981456,135.9900941992464,-0.018440592667839303,135.99009544954137,STRAIGHT CRUISE,0.0
