step,time_s,ball_x,ball_y,radius_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
630,6.3,1.1875,1.1966,1.6859,0.3141,0.9445,0.3659,turn,boundary_turn_inward,1
640,6.4,1.1492,1.2811,1.721,0.279,0.9222,0.3436,stop,boundary_emergency_brake,1
650,6.5,1.1292,1.3174,1.7351,0.2649,0.3798,0.1165,stop,boundary_emergency_brake,1
660,6.6,1.109,1.3499,1.747,0.253,0.3834,0.1223,stop,boundary_emergency_brake,1
670,6.7,1.0904,1.3804,1.7591,0.2409,0.1409,0.0685,turn,boundary_turn_inward,1
680,6.8,1.0884,1.3826,1.7596,0.2404,0.0399,-0.0345,turn,roam_obstacle_escape,0
690,6.9,1.0909,1.3679,1.7496,0.2504,0.2273,-0.1946,curve,roam_curve_right,0
700,7.0,1.0883,1.3353,1.7226,0.2774,0.4182,-0.338,curve,roam_curve_right,0
710,7.1,1.087,1.2879,1.6854,0.3146,0.5434,-0.4154,curve,roam_curve_right,0
720,7.2,1.0894,1.2291,1.6424,0.3576,0.615,-0.4285,curve,roam_curve_right,0
730,7.3,1.077,1.183,1.5998,0.4002,0.4923,-0.4488,move,roam_forward_cruise,0
740,7.4,1.0518,1.1513,1.5595,0.4405,0.419,-0.3202,move,roam_forward_cruise,0
750,7.5,0.9944,1.1684,1.5343,0.4657,0.6976,-0.2098,move,roam_forward_cruise,0
760,7.6,0.9251,1.2009,1.5159,0.4841,0.8213,-0.1608,move,roam_forward_cruise,0
770,7.7,0.851,1.2378,1.5021,0.4979,0.8556,-0.1147,move,roam_forward_cruise,0
780,7.8,0.7743,1.2776,1.4939,0.5061,0.9815,-0.0004,turn,boundary_turn_inward,1
790,7.9,0.6999,1.3172,1.4916,0.5084,0.8538,0.11,turn,boundary_turn_inward,1
800,8.0,0.6279,1.3536,1.4921,0.5079,0.8804,0.2931,turn,boundary_turn_inward,1
810,8.1,0.5596,1.3915,1.4998,0.5002,0.7637,0.3266,turn,boundary_turn_inward,1
820,8.2,0.4935,1.4246,1.5077,0.4923,0.6741,0.2582,turn,boundary_turn_inward,1
830,8.3,0.4302,1.4567,1.5189,0.4811,0.6206,0.2595,turn,boundary_turn_inward,1
840,8.4,0.3648,1.4839,1.5281,0.4719,0.7883,0.2625,turn,boundary_turn_inward,1
850,8.5,0.2996,1.4996,1.5293,0.4707,0.678,0.1795,turn,boundary_turn_inward,1
860,8.6,0.2348,1.5057,1.5239,0.4761,0.8433,0.0892,turn,boundary_turn_inward,1
870,8.7,0.1677,1.5159,1.5252,0.4748,0.8259,0.2306,turn,boundary_turn_inward,1
880,8.8,0.1011,1.5241,1.5275,0.4725,0.9038,0.126,turn,boundary_turn_inward,1
890,8.9,0.0357,1.53,1.5304,0.4696,0.859,0.2139,turn,boundary_turn_inward,1
900,9.0,-0.0306,1.5284,1.5287,0.4713,1.0558,0.1736,turn,boundary_turn_inward,1
910,9.1,-0.0928,1.532,1.5348,0.4652,0.9223,0.3852,turn,boundary_turn_inward,1
920,9.2,-0.1526,1.5447,1.5522,0.4478,0.8755,0.4454,turn,boundary_turn_inward,1
930,9.3,-0.214,1.5644,1.5789,0.4211,0.8965,0.6234,turn,boundary_turn_inward,1
940,9.4,-0.2767,1.5838,1.6078,0.3922,0.8919,0.49,turn,boundary_turn_inward,1
950,9.5,-0.3476,1.5912,1.6287,0.3713,0.7181,0.3524,turn,boundary_turn_inward,1
960,9.6,-0.4194,1.5898,1.6442,0.3558,0.6403,0.4005,turn,boundary_turn_inward,1
970,9.7,-0.4887,1.5852,1.6588,0.3412,0.5502,0.3529,turn,boundary_turn_inward,1
980,9.8,-0.5561,1.5788,1.6738,0.3262,0.4617,0.3584,turn,boundary_turn_inward,1
990,9.9,-0.6191,1.5716,1.6892,0.3108,0.5447,0.3955,turn,boundary_turn_inward,1
1000,10.0,-0.674,1.5625,1.7016,0.2984,0.4566,0.2831,turn,boundary_turn_inward,1
1010,10.1,-0.7196,1.5545,1.713,0.287,0.3626,0.2518,turn,boundary_turn_inward,1
1020,10.2,-0.7616,1.5394,1.7175,0.2825,0.3326,0.2025,turn,boundary_turn_inward,1
1030,10.3,-0.7977,1.5257,1.7217,0.2783,0.1723,0.1147,stop,boundary_emergency_brake,1
1040,10.4,-0.8293,1.4995,1.7136,0.2864,0.2658,-0.1164,curve,roam_curve_right,0
1050,10.5,-0.8543,1.4649,1.6958,0.3042,0.362,-0.1765,curve,roam_curve_right,0
1060,10.6,-0.8841,1.4275,1.6791,0.3209,0.4857,-0.1775,curve,roam_curve_right,0
1070,10.7,-0.9068,1.3877,1.6577,0.3423,0.5093,-0.3033,curve,roam_curve_right,0
1080,10.8,-0.9291,1.3383,1.6292,0.3708,0.6002,-0.3349,curve,roam_curve_right,0
1090,10.9,-0.9601,1.2827,1.6022,0.3978,0.7139,-0.3341,move,roam_forward_cruise,0
1100,11.0,-0.999,1.2209,1.5776,0.4224,0.8265,-0.2419,move,roam_forward_cruise,0
1110,11.1,-1.0447,1.1514,1.5547,0.4453,0.8564,-0.2217,move,roam_forward_cruise,0
1120,11.2,-1.0919,1.0812,1.5366,0.4634,0.8597,-0.1376,move,roam_forward_cruise,0
1130,11.3,-1.1431,1.0109,1.5259,0.4741,0.8668,-0.0815,move,roam_forward_cruise,0
1140,11.4,-1.1963,0.9415,1.5223,0.4777,0.9136,0.0736,turn,boundary_turn_inward,1
1150,11.5,-1.2464,0.8732,1.5218,0.4782,0.9689,0.1802,turn,boundary_turn_inward,1
1160,11.6,-1.2943,0.8059,1.5247,0.4753,0.8805,0.2504,turn,boundary_turn_inward,1
1170,11.7,-1.3374,0.7405,1.5287,0.4713,0.8538,0.349,turn,boundary_turn_inward,1
1180,11.8,-1.3853,0.673,1.5402,0.4598,1.0836,0.4579,turn,boundary_turn_inward,1
1190,11.9,-1.4346,0.6054,1.5572,0.4428,1.1135,0.4767,turn,boundary_turn_inward,1
1200,12.0,-1.4812,0.5418,1.5772,0.4228,1.0616,0.5455,turn,boundary_turn_inward,1
1210,12.1,-1.5341,0.4807,1.6077,0.3923,1.0289,0.5579,turn,boundary_turn_inward,1
1220,12.2,-1.5893,0.4182,1.6434,0.3566,1.0134,0.5736,turn,boundary_turn_inward,1
1230,12.3,-1.6379,0.3559,1.6761,0.3239,0.9677,0.5475,turn,boundary_turn_inward,1
1240,12.4,-1.6835,0.2938,1.709,0.291,0.9684,0.5777,turn,boundary_turn_inward,1
1250,12.5,-1.7214,0.2393,1.7379,0.2621,1.0152,0.6586,stop,boundary_emergency_brake,1
1260,12.6,-1.7599,0.1884,1.77,0.23,1.1357,0.7748,stop,boundary_emergency_brake,1
1270,12.7,-1.7848,0.14,1.7903,0.2097,1.0771,0.5798,stop,boundary_emergency_brake,1
1280,12.8,-1.8085,0.0851,1.8105,0.1895,1.0932,0.6518,stop,boundary_emergency_brake,1
1290,12.9,-1.8281,0.0426,1.8286,0.1714,0.8777,0.5886,stop,boundary_emergency_brake,1
1300,13.0,-1.8383,0.026,1.8385,0.1615,0.4933,0.4415,stop,boundary_emergency_brake,1
1310,13.1,-1.8474,0.0285,1.8476,0.1524,0.1742,0.0206,stop,boundary_emergency_brake,1
1320,13.2,-1.8421,0.0227,1.8423,0.1577,0.1028,-0.101,stop,roam_stance_pause,0
1330,13.3,-1.8343,0.0149,1.8344,0.1656,0.3183,-0.3013,stop,roam_stance_pause,0
1340,13.4,-1.822,0.0044,1.822,0.178,0.1795,-0.1198,curve,roam_curve_right,0
1350,13.5,-1.8046,-0.0069,1.8046,0.1954,0.287,-0.2369,curve,roam_curve_right,0
1360,13.6,-1.7774,-0.0205,1.7775,0.2225,0.3956,-0.3534,curve,roam_curve_right,0
1370,13.7,-1.7406,-0.0386,1.741,0.259,0.5235,-0.4658,curve,roam_curve_right,0
1380,13.8,-1.6939,-0.0579,1.6949,0.3051,0.6388,-0.5912,curve,roam_curve_right,0
1390,13.9,-1.6444,-0.0738,1.646,0.354,0.6036,-0.5693,curve,roam_curve_right,0
1400,14.0,-1.5904,-0.0886,1.5929,0.4071,0.6673,-0.6265,curve,roam_curve_right,0
1410,14.1,-1.5384,-0.1029,1.5418,0.4582,0.6589,-0.6249,curve,roam_curve_right,0
1420,14.2,-1.4857,-0.116,1.4902,0.5098,0.653,-0.623,curve,roam_curve_right,0
1430,14.3,-1.43,-0.1252,1.4354,0.5646,0.6144,-0.5977,curve,roam_curve_right,0
1440,14.4,-1.3693,-0.1339,1.3758,0.6242,0.6568,-0.6363,curve,roam_curve_right,0
1450,14.5,-1.3081,-0.1528,1.317,0.683,0.7348,-0.6339,move,roam_forward_cruise,0
1460,14.6,-1.2454,-0.1926,1.2602,0.7398,0.6581,-0.4969,move,roam_forward_cruise,0
1470,14.7,-1.1877,-0.2352,1.2108,0.7892,0.7473,-0.5051,move,roam_forward_cruise,0
1480,14.8,-1.1285,-0.2902,1.1652,0.8348,0.788,-0.4421,move,roam_forward_cruise,0
1490,14.9,-1.0698,-0.3508,1.1258,0.8742,0.8381,-0.3625,move,roam_forward_cruise,0
1500,15.0,-1.0121,-0.4111,1.0924,0.9076,0.857,-0.2995,move,roam_forward_cruise,0
1510,15.1,-0.9531,-0.4752,1.065,0.935,0.9015,-0.2385,move,roam_forward_cruise,0
1520,15.2,-0.8918,-0.5422,1.0437,0.9563,0.9124,-0.1822,move,roam_forward_cruise,0
1530,15.3,-0.8297,-0.6102,1.0299,0.9701,0.9452,-0.0995,move,roam_forward_cruise,0
1540,15.4,-0.7645,-0.6806,1.0235,0.9765,0.9655,-0.0136,curve,roam_curve_left,0
1550,15.5,-0.6993,-0.7545,1.0287,0.9713,0.9967,0.122,curve,roam_curve_left,0
1560,15.6,-0.6336,-0.8303,1.0444,0.9556,1.0275,0.1935,curve,roam_curve_left,0
1570,15.7,-0.5621,-0.906,1.0662,0.9338,1.0587,0.2396,curve,roam_curve_left,0
1580,15.8,-0.4852,-0.9799,1.0934,0.9066,1.0711,0.3045,curve,roam_curve_left,0
1590,15.9,-0.4061,-1.053,1.1286,0.8714,1.0782,0.4086,curve,roam_curve_left,0
1600,16.0,-0.3271,-1.1271,1.1736,0.8264,1.0891,0.4917,curve,roam_curve_left,0
1610,16.1,-0.2471,-1.2016,1.2268,0.7732,1.1047,0.5863,curve,roam_curve_left,0
1620,16.2,-0.1701,-1.2785,1.2898,0.7102,1.0943,0.6743,turn,roam_pivot_turn,0
1630,16.3,-0.0918,-1.3557,1.3588,0.6412,1.1327,0.5683,turn,boundary_turn_inward,1
