time_s,x_m,y_m,z_m,vx_m_s,deck_clearance_cm
0.0,0.07153773074381548,0.0075589530798735784,0.4157286826718891,0.26158489615417985,1.572868267188912
0.01,0.07464304035759659,0.006965936684139728,0.4172338863549729,0.2949656509335439,1.723388635497289
0.02,0.07750101224163694,0.006071272619516094,0.4195551216347679,0.28298985176763614,1.9555121634767887
0.03,0.08030166404325058,0.00527243092425011,0.4227637558944624,0.27787238585377805,2.276375589446242
0.04,0.08301517325193039,0.004795375007256595,0.4265553099597861,0.26479633697793203,2.655530995978608
0.05,0.08556460703735513,0.00478704290610741,0.4306122386584399,0.24591241585503654,3.06122386584399
0.06,0.08788551920222445,0.00533816961369856,0.43466915379319143,0.220435113574894,3.466915379319144
0.07,0.08983719906854354,0.0063605687968810685,0.43840446961312873,0.18005705756736914,3.8404469613128738
0.08,0.0916458607352744,0.0077332724141551306,0.4419275618938375,0.1886821058308637,4.192756189383748
0.09,0.09371025829757552,0.009316122582728063,0.4454459113161365,0.21863709897636904,4.5445911316136485
0.1,0.09603185346373211,0.010952309178732115,0.44873737440118683,0.24094887526848918,4.873737440118683
0.11,0.09852454342946326,0.012495297914612194,0.4515578463198702,0.2553450193608457,5.155784631987023
0.12,0.10114709625365147,0.013774155460782386,0.453757347048981,0.2683659871366692,5.375734704898102
0.13,0.1037939288902146,0.014790000502524546,0.455203797840066,0.2689669202978814,5.5203797840065985
0.14,0.10643487645818696,0.015470822566135993,0.455908662731771,0.26757004787167954,5.590866273177101
0.15,0.10915810948784889,0.016025694950803675,0.4557724182836073,0.27576552189207265,5.577241828360732
0.16,0.11198752149748363,0.016411083120817023,0.45486008482178303,0.28761995921755307,5.4860084821783035
0.17,0.11496909957896542,0.016569981452836988,0.453283870182379,0.30491869668208516,5.3283870182378985
0.18,0.11816674810515403,0.01641098785471654,0.451206863464059,0.3295203835905978,5.120686346405903
0.19,0.12168134922966119,0.015806553037694782,0.448828772795045,0.36542673139659915,4.882877279504502
0.2,0.12562547308888103,0.014600646669166554,0.4463677189829998,0.41335630141487667,4.636771898299982
0.21,0.13011984764307752,0.012669558654725648,0.4440010658811644,0.4717045363548366,4.40010658811644
0.22,0.1349477292838238,0.010393462221404474,0.44130193713944366,0.48808366986393203,4.130193713944366
0.23,0.13959368607789222,0.00753219727192289,0.4382600152573792,0.44650925640561506,3.8260015257379183
0.24,0.1448670973268086,0.004371532751984172,0.43483720359312833,0.578424084321072,3.4837203593128336
0.25,0.1503897003309412,0.0007413831690598932,0.4311115133720941,0.5234013706605236,3.1111513372094084
0.26,0.15626296682965768,-0.0026273987843625866,0.4263200691425357,0.5798499254512518,2.632006914253568
0.27,0.1619445551471227,-0.005908354231963366,0.4206494657306407,0.5650771591213316,2.064946573064072
0.28,0.1674649315308455,-0.008942076317110718,0.4141183099020787,0.5456054816782189,1.4118309902078714
0.29,0.1729166739412799,-0.011398895008838766,0.40726657270809563,0.5487077191958956,0.7266572708095637
