step,time_s,ball_x,ball_y,radius_m,core_z_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
580,5.8,0.3953,1.0114,1.0859,0.1873,0.9141,0.2974,-0.2974,turn,roam_pivot_turn,0
590,5.9,0.3915,0.9847,1.0596,0.1873,0.9404,0.2543,-0.2446,stop,roam_stance_pause,0
600,6.0,0.3807,0.9629,1.0354,0.189,0.9646,0.2563,-0.2517,stop,roam_stance_pause,0
610,6.1,0.3735,0.9425,1.0138,0.187,0.9862,0.1751,-0.1744,stop,roam_stance_pause,0
620,6.2,0.3683,0.9271,0.9976,0.1851,1.0024,0.1019,-0.1015,curve,roam_curve_right,0
630,6.3,0.3612,0.9151,0.9839,0.1826,1.0161,0.143,-0.1411,curve,roam_curve_right,0
640,6.4,0.3511,0.9029,0.9687,0.1824,1.0313,0.167,-0.1475,curve,roam_curve_right,0
650,6.5,0.3379,0.8922,0.954,0.1809,1.046,0.1662,-0.1494,curve,roam_curve_right,0
660,6.6,0.3257,0.8783,0.9367,0.183,1.0633,0.2276,-0.217,curve,roam_curve_right,0
670,6.7,0.3138,0.8637,0.919,0.1849,1.081,0.0893,-0.0703,curve,roam_curve_right,0
680,6.8,0.3082,0.8685,0.9216,0.1856,1.0784,0.0919,0.0729,curve,roam_curve_right,0
690,6.9,0.3086,0.8793,0.9319,0.185,1.0681,0.1969,0.1963,curve,roam_curve_right,0
700,7.0,0.3195,0.8919,0.9474,0.1865,1.0526,0.1846,0.1379,curve,roam_curve_right,0
710,7.1,0.3408,0.896,0.9586,0.1835,1.0414,0.254,0.0974,curve,roam_curve_right,0
720,7.2,0.3678,0.896,0.9686,0.181,1.0314,0.3047,0.0843,curve,roam_curve_right,0
730,7.3,0.39,0.8935,0.9749,0.1893,1.0251,0.0566,0.0351,move,roam_forward_cruise,0
740,7.4,0.383,0.9002,0.9783,0.1893,1.0217,0.1708,0.0509,move,roam_forward_cruise,0
750,7.5,0.3579,0.9143,0.9819,0.188,1.0181,0.2952,0.0303,move,roam_forward_cruise,0
760,7.6,0.3488,0.9164,0.9805,0.1923,1.0195,0.0649,-0.0424,move,roam_forward_cruise,0
770,7.7,0.3507,0.9113,0.9765,0.1906,1.0235,0.0508,-0.0429,move,roam_forward_cruise,0
780,7.8,0.3489,0.9077,0.9725,0.1908,1.0275,0.0559,-0.0446,move,roam_forward_cruise,0
790,7.9,0.3454,0.905,0.9687,0.1891,1.0313,0.0339,-0.0337,move,roam_forward_cruise,0
800,8.0,0.3412,0.9031,0.9654,0.1903,1.0346,0.064,-0.0359,move,roam_forward_cruise,0
810,8.1,0.3365,0.9009,0.9617,0.1896,1.0383,0.046,-0.0385,move,roam_forward_cruise,0
820,8.2,0.3345,0.8936,0.9541,0.1851,1.0459,0.1059,-0.1052,curve,roam_curve_left,0
830,8.3,0.3357,0.8823,0.944,0.1844,1.056,0.134,-0.1098,curve,roam_curve_left,0
840,8.4,0.3416,0.8661,0.931,0.1805,1.069,0.201,-0.1451,curve,roam_curve_left,0
850,8.5,0.3528,0.8456,0.9163,0.1829,1.0837,0.2457,-0.1336,curve,roam_curve_left,0
860,8.6,0.3659,0.831,0.908,0.1823,1.092,0.1068,-0.0401,curve,roam_curve_left,0
870,8.7,0.378,0.824,0.9065,0.1843,1.0935,0.179,-0.0139,curve,roam_curve_left,0
880,8.8,0.3957,0.8096,0.9011,0.1848,1.0989,0.2655,-0.0768,curve,roam_curve_left,0
890,8.9,0.4157,0.789,0.8918,0.1816,1.1082,0.2715,-0.1045,curve,roam_curve_left,0
900,9.0,0.4296,0.7623,0.875,0.1864,1.125,0.3298,-0.2016,turn,roam_pivot_turn,0
910,9.1,0.436,0.7295,0.8498,0.1849,1.1502,0.326,-0.2678,turn,roam_pivot_turn,0
920,9.2,0.4344,0.6953,0.8199,0.1812,1.1801,0.3514,-0.322,turn,roam_pivot_turn,0
930,9.3,0.4193,0.661,0.7827,0.1842,1.2173,0.4067,-0.4067,turn,roam_pivot_turn,0
940,9.4,0.3972,0.6274,0.7426,0.1866,1.2574,0.3912,-0.3908,turn,roam_pivot_turn,0
950,9.5,0.381,0.5917,0.7038,0.1856,1.2962,0.4059,-0.3964,stop,roam_stance_pause,0
960,9.6,0.367,0.5571,0.6671,0.1918,1.3329,0.3519,-0.3457,stop,roam_stance_pause,0
970,9.7,0.3529,0.5265,0.6338,0.1947,1.3662,0.3324,-0.33,stop,roam_stance_pause,0
980,9.8,0.3397,0.4956,0.6008,0.1918,1.3992,0.3338,-0.3242,curve,roam_curve_right,0
990,9.9,0.3285,0.4676,0.5715,0.1821,1.4285,0.2964,-0.2912,curve,roam_curve_right,0
1000,10.0,0.3156,0.4405,0.5419,0.1841,1.4581,0.3254,-0.3205,curve,roam_curve_right,0
1010,10.1,0.2997,0.4063,0.5049,0.1842,1.4951,0.4123,-0.3998,curve,roam_curve_right,0
1020,10.2,0.287,0.3673,0.4661,0.1813,1.5339,0.4132,-0.3791,curve,roam_curve_right,0
1030,10.3,0.276,0.3281,0.4288,0.1852,1.5712,0.4127,-0.3802,curve,roam_curve_right,0
1040,10.4,0.265,0.2835,0.3881,0.1826,1.6119,0.5095,-0.4305,curve,roam_curve_right,0
1050,10.5,0.2575,0.2344,0.3482,0.1846,1.6518,0.4649,-0.3546,curve,roam_curve_right,0
1060,10.6,0.2512,0.1843,0.3116,0.1834,1.6884,0.5418,-0.3799,curve,roam_curve_right,0
1070,10.7,0.2441,0.1292,0.2762,0.1839,1.7238,0.5032,-0.2884,curve,roam_curve_right,0
1080,10.8,0.2383,0.0772,0.2505,0.1821,1.7495,0.5576,-0.2269,curve,roam_curve_right,0
1090,10.9,0.2289,0.0204,0.2298,0.1851,1.7702,0.6006,-0.1606,move,roam_forward_cruise,0
1100,11.0,0.2144,-0.0383,0.2178,0.1846,1.7822,0.5753,-0.0397,move,roam_forward_cruise,0
1110,11.1,0.1926,-0.0986,0.2163,0.1851,1.7837,0.6818,0.0607,move,roam_forward_cruise,0
1120,11.2,0.1629,-0.16,0.2283,0.1866,1.7717,0.6749,0.2008,move,roam_forward_cruise,0
1130,11.3,0.1252,-0.2207,0.2537,0.1865,1.7463,0.701,0.3286,move,roam_forward_cruise,0
1140,11.4,0.0848,-0.2812,0.2937,0.1831,1.7063,0.7532,0.4658,move,roam_forward_cruise,0
1150,11.5,0.0405,-0.3428,0.3452,0.1838,1.6548,0.7803,0.5739,move,roam_forward_cruise,0
1160,11.6,-0.0057,-0.4062,0.4063,0.185,1.5937,0.7853,0.646,move,roam_forward_cruise,0
1170,11.7,-0.0523,-0.4699,0.4728,0.1828,1.5272,0.8121,0.7101,move,roam_forward_cruise,0
1180,11.8,-0.0966,-0.5332,0.5419,0.1861,1.4581,0.7583,0.6922,curve,roam_curve_left,0
1190,11.9,-0.1418,-0.5964,0.613,0.1862,1.387,0.7499,0.6926,curve,roam_curve_left,0
1200,12.0,-0.187,-0.661,0.6869,0.1823,1.3131,0.7517,0.7097,curve,roam_curve_left,0
1210,12.1,-0.2311,-0.7252,0.7611,0.1821,1.2389,0.7865,0.7528,curve,roam_curve_left,0
