time_s,phase,angle_deg,x_m,y_m,vx_cm_s,vy_cm_s,speed_cm_s,lane_error_cm
0.0,STRAIGHT,0.0,0.03702192762632241,-0.035371145206474885,13.0241986788892,-12.171695077889126,17.826382479243776,0.0
0.01,STRAIGHT,0.0,0.03986962265871412,-0.03652353421912769,36.84840114141024,-11.018109262066256,38.4604133933726,0.0
0.02,STRAIGHT,0.0,0.04176259476583789,-0.03768424863419026,8.96984791481483,-11.74505043987215,14.778510799469915,0.0
0.03,STRAIGHT,0.0,0.04370356808121314,-0.03888857716594323,23.896311361375595,-13.689505290228604,27.539721345195296,0.0
0.04,STRAIGHT,0.0,0.04507012198647484,-0.04004941833801176,6.8645703614981795,-10.15789001301794,12.259896237918527,0.0
0.05,STRAIGHT,0.0,0.04635042505559305,-0.0410160491709867,16.775881432126667,-9.473754550296572,19.266089979651746,0.0
0.060000000000000005,STRAIGHT,0.0,0.04800929344117207,-0.04198716723027428,16.15347009945254,-9.880072160716306,18.935427699285505,0.0
0.07,STRAIGHT,0.0,0.050235826950024265,-0.042915500895641626,24.43740462600634,-9.099487034541959,26.076568201106394,0.0
0.08,STRAIGHT,0.0,0.053166815872422786,-0.04377959606746991,32.163351842849906,-8.359284119786805,33.231894811495124,0.0
0.09,STRAIGHT,0.0,0.05674439716035823,-0.04457554547656632,36.84852923317072,-7.820730960903566,37.66932358578626,0.0
0.09999999999999999,STRAIGHT,0.0,0.06041273140437609,-0.0454302086078955,38.17740539136863,-8.018291573771196,39.01034839858409,0.0
0.10999999999999999,STRAIGHT,0.0,0.0644492392918768,-0.0461937148284821,41.664057096508024,-7.435666514942641,42.32236749359043,0.0
0.11999999999999998,STRAIGHT,0.0,0.06885572497613592,-0.046914414765834696,45.42087440645658,-7.09538623335892,45.97173411616797,0.0
0.12999999999999998,STRAIGHT,0.0,0.0736420487408201,-0.04759539806980287,49.321572327962635,-6.650407417958233,49.76791552523858,0.0
0.13999999999999999,STRAIGHT,0.0,0.07884577438452124,-0.04822625194101882,53.677030956318816,-6.116834215785218,54.024432557029314,0.0
0.15,STRAIGHT,0.0,0.08451747586382327,-0.048798146037051605,58.568048091709876,-5.466328092904077,58.822589199151324,0.0
0.16,STRAIGHT,0.0,0.09048190223581924,-0.04931610879082327,59.95422081931417,-5.008010302745931,60.16301821919754,0.0
0.17,STRAIGHT,0.0,0.09716895568395724,-0.04975489339119525,71.08508658366168,-3.9884402349822308,71.19689031211055,0.0
0.18000000000000002,STRAIGHT,0.0,0.10411824146079131,-0.05016935142681451,67.28340476200133,-4.467626483266521,67.43156710889409,0.0
0.19000000000000003,STRAIGHT,0.0,0.11130891107778226,-0.050574168921451536,74.38443166384452,-3.720657274651065,74.47742587192828,0.0
0.20000000000000004,STRAIGHT,0.0,0.11850084896440742,-0.05099462673817999,69.69841191248611,-4.484577515679447,69.84253760149844,0.0
0.21000000000000005,STRAIGHT,0.0,0.1258615491324018,-0.05138766717009741,73.82565631746722,-3.8790617610895306,73.92749590545546,0.0
0.22000000000000006,STRAIGHT,0.0,0.13327137122909338,-0.05177076327746233,73.69539608810429,-3.8348591632956563,73.79510518581085,0.0
0.23000000000000007,STRAIGHT,0.0,0.1403484632056235,-0.05209243641246432,68.6014952097651,-2.759974696960529,68.65699239948752,0.0
0.24000000000000007,STRAIGHT,0.0,0.14754068336872062,-0.05245344767385357,73.95364803583635,-4.007892766711333,74.06217160087746,0.0
0.25000000000000006,STRAIGHT,0.0,0.15474361321435906,-0.052751029943513154,70.60138646174923,-2.3320263105108103,70.63989040927359,0.0
0.26000000000000006,STRAIGHT,0.0,0.16231954654458874,-0.053056457578170874,77.36299979372761,-3.226942846293375,77.43027119426576,0.0
0.2700000000000001,STRAIGHT,0.0,0.1703013776392903,-0.05338422687747973,81.0893802927992,-3.3284580531034904,81.15766278843596,0.0
0.2800000000000001,STRAIGHT,0.0,0.1786653926976366,-0.053745754791440656,84.39574734944763,-4.073534241138793,84.49399891048789,0.0
0.2900000000000001,STRAIGHT,0.0,0.18711409114301486,-0.05423349419402411,85.87322275756158,-4.660012632915701,85.9995703739776,0.0
0.3000000000000001,STRAIGHT,0.0,0.19568205479257014,-0.05475021304444377,85.46121853263887,-5.44866703974891,85.63473504129912,0.0
0.3100000000000001,STRAIGHT,0.0,0.2042435505332658,-0.05533610219811477,85.54836268390541,-6.068606158723432,85.76333912929647,0.0
0.3200000000000001,STRAIGHT,0.0,0.21259196743902367,-0.05598351299726058,81.65302382809968,-6.720556646657448,81.92912901961759,0.0
0.3300000000000001,STRAIGHT,0.0,0.2211871573281291,-0.056633246731534595,88.5011094698242,-6.396849409079364,88.73199005855919,0.0
0.34000000000000014,STRAIGHT,0.0,0.2295704218090125,-0.057161281890312284,80.37753445449619,-4.483109537366934,80.50246155309632,0.0
0.35000000000000014,STRAIGHT,0.0,0.23844021632499018,-0.05776497840745087,92.08046431948628,-6.260582367552213,92.29304849701896,0.0
0.36000000000000015,STRAIGHT,0.0,0.24759174826445818,-0.05845093943731576,90.7125836162901,-7.140737872241464,90.99320284341292,0.0
0.37000000000000016,STRAIGHT,0.0,0.25728704197050795,-0.05913414223569807,97.42904272426185,-6.7628833308940015,97.66347811292266,0.0
0.38000000000000017,STRAIGHT,0.0,0.2669662942365397,-0.05980168638793542,96.33329577129503,-6.561588479577707,96.55650323792352,0.0
0.3900000000000002,STRAIGHT,0.0,0.2767108825378502,-0.06045154506617763,97.55365487378877,-6.381104462624848,97.76213005759043,0.0
