time_s,jump_idx,requested_height_cm,phase,height_cm,vz_cm_s,vx_cm_s,measured_rise_cm,ground_contact
0.01,0,20.0,move,19.540193666867626,-0.974752692373751,17.334684886466604,0.0,1
0.02,0,20.0,move,19.644249136937518,27.602794579302735,6.492058579718643,0.1345871546019034,1
0.03,0,20.0,move,20.082508317006095,58.43552938925938,46.13682019147474,0.030531684532011938,1
0.04,0,20.0,move,20.602460058458483,48.184295549205856,23.600696388257035,-0.40772749553656396,0
0.05,0,20.0,move,21.046600391855105,40.506940470403464,31.960231718552244,-0.9276792369889514,0
0.060000000000000005,0,20.0,move,21.391801744358073,30.535172211894608,27.32805686964419,-1.371819570385574,0
0.07,0,20.0,move,21.64510825660313,21.324621232219638,28.008948588228254,-1.7170209228885402,1
0.08,0,20.0,move,21.82516411259859,15.246250225573057,25.882552540671355,-1.9703274351335982,1
0.09,0,20.0,move,21.956662448573923,10.949201568185812,35.24827623057751,-2.150383291129057,1
0.09999999999999999,0,20.0,move,22.04923189203006,7.682045410877302,35.32041680498782,-2.2818816271043927,1
0.10999999999999999,0,20.0,move,22.11329661523403,5.232850501443577,44.19087392160383,-2.3744510705605295,1
0.11999999999999998,0,20.0,move,22.152967346395954,2.531370612183682,49.02126916752426,-2.438515793764501,1
0.12999999999999998,0,20.0,move,22.132234057731353,-5.649785632118991,44.47912597509391,-2.478186524926423,1
0.13999999999999999,0,20.0,move,22.036843696237202,-13.10436994358206,53.177040614915214,-2.4574532362618196,1
0.15,0,20.0,move,21.85792781828987,-21.394317899766683,48.22430150201092,-2.36206287476767,1
0.16,0,20.0,move,21.580243694303082,-32.53410558687577,54.32104996174715,-2.183146996820337,1
0.17,0,20.0,move,21.20486377589922,-40.98126902643548,48.867131684226884,-1.9054628728335494,1
0.18000000000000002,0,20.0,move,20.72961292406725,-52.44500736279195,54.792009825634736,-1.5300829544296901,1
0.19000000000000003,0,20.0,move,20.161196771665878,-60.62792377020093,47.54241784300524,-1.0548321025977192,1
0.20000000000000004,0,20.0,move,19.533657663593715,-64.66416881626685,54.87383529166225,-0.48641595019634776,1
0.21000000000000005,0,20.0,move,18.911124369592848,-60.633479242371216,54.59071035120581,0.14112315787581653,1
0.22000000000000006,0,20.0,move,18.39340768782972,-45.8268670721687,68.82272294588168,0.763656451876682,1
0.23000000000000007,0,20.0,move,18.074341430465218,-22.75583522442873,75.16340151073885,1.2813731336398126,1
0.24000000000000007,0,20.0,move,17.995384624963613,0.8479429289439442,90.71324088802233,1.600439391004313,1
0.25000000000000006,0,20.0,move,18.14900255519871,23.349895098809718,96.05462858219092,1.6793961965059168,1
0.26000000000000006,0,20.0,move,18.394680972303828,23.482828206685003,100.04334072048033,1.525778266270822,1
0.2700000000000001,0,20.0,move,18.61600171123716,20.668091049227723,95.82056080786528,1.280099849165703,1
0.2800000000000001,0,20.0,move,18.800020048861015,14.892306050049864,103.4689543021855,1.0587791102323718,1
0.2900000000000001,0,20.0,move,18.928841365676156,11.404361621676063,94.34238690762291,0.8747607726085155,1
0.3000000000000001,0,20.0,move,19.029267523561632,7.213620667140512,108.3337890581031,0.7459394557933763,1
0.3100000000000001,0,20.0,move,19.078335367933267,3.1764602743979022,102.05780060450536,0.6455132979078987,1
0.3200000000000001,0,20.0,move,19.07331922859001,-3.7737893309106507,107.43009822842151,0.5964454535362651,1
0.3300000000000001,0,20.0,move,19.031497829715033,-5.047665821627752,102.78653453621615,0.6014615928795208,1
0.34000000000000014,0,20.0,move,18.93983300502935,-10.953857148596665,105.5416020823223,0.6432829917544985,1
0.35000000000000014,0,20.0,move,18.82811241765656,-12.351036828624363,105.8999872675599,0.7349478164401818,1
0.36000000000000015,0,20.0,move,18.715601357837457,-10.916729002267903,102.18061722711067,0.8466684038129724,1
0.37000000000000016,0,20.0,move,18.601607534282603,-13.173939072057639,109.98306188357492,0.9591794636320761,1
0.38000000000000017,0,20.0,move,18.478009813305057,-11.940748698747168,101.60465188226135,1.0731732871869264,1
0.3900000000000002,0,20.0,move,18.386455510647973,-9.568582116338956,114.34429546478329,1.196771008164474,1
0.4000000000000002,0,20.0,move,18.3174306565209,-6.566275603126415,113.00928256901545,1.2883253108215587,1
0.4100000000000002,0,20.0,move,18.2835311310692,-1.7172635025873129,114.04739966329964,1.3573501649486315,1
0.4200000000000002,0,20.0,move,18.306551300908406,3.3439527701128173,114.87166476169976,1.3912496904003313,1
0.4300000000000002,0,20.0,move,18.361394432236324,5.025906139451793,111.8215797758079,1.3682295205611235,1
0.4400000000000002,0,20.0,move,18.402083845742734,1.6284339486758892,118.47990846331928,1.3133863892332092,1
0.45000000000000023,0,20.0,move,18.408275967701712,-0.9286562314859264,116.99480472773371,1.2726969757267974,1
0.46000000000000024,0,20.0,move,18.407033223392013,-0.5927644233881835,112.74770632972164,1.2665048537678192,1
0.47000000000000025,0,20.0,move,18.40450345750312,-0.4553961376692459,117.36824674882156,1.2677475980775204,1
0.48000000000000026,0,20.0,move,18.404103897596162,-0.748523699068501,117.03474081177218,1.27027736396641,1
0.49000000000000027,0,20.0,move,18.386985153474225,-2.7931564147384345,116.3426496318223,1.270676923873368,1
0.5000000000000002,0,20.0,move,18.355625308325628,-3.650625486743354,116.7123551739962,1.2877956679953062,1
0.5100000000000002,0,20.0,move,18.301018177981977,-7.235859553768395,112.23417285960883,1.319155513143902,1
0.5200000000000002,0,20.0,move,18.213332241193893,-10.514109207701484,117.81501195234118,1.3737626434875554,1
0.5300000000000002,0,20.0,move,18.12558420997168,-7.61169599176896,112.68630785642064,1.4614485802756372,1
0.5400000000000003,0,20.0,move,18.07027398129858,-4.061001942790684,116.78372726290583,1.5491966114978495,1
0.5500000000000003,0,20.0,move,18.067134412537,1.789526598509731,116.40086555961034,1.6045068401709521,1
0.5600000000000003,0,20.0,move,18.131045018044677,8.680749851898288,116.90824527509933,1.6076464089325309,1
0.5700000000000003,0,20.0,move,18.246987792046333,11.826563891268272,112.82469138682683,1.5437358034248532,1
0.5800000000000003,0,20.0,move,18.355891024878474,7.602568354786461,118.20632132065087,1.4277930294231966,1
0.5900000000000003,0,20.0,move,18.39281095644746,0.8984556361372258,113.45055430900004,1.318889796591058,1
0.6000000000000003,0,20.0,move,18.360717456176406,-6.809740774481391,119.28130993285957,1.2819698650220728,1
0.6100000000000003,0,20.0,move,18.28103716362242,-8.714029389266761,115.01602705462814,1.314063365293125,1
0.6200000000000003,0,20.0,move,18.189202056147142,-8.645075716551244,120.2413780941205,1.393743657847113,1
