time_s,phase,x_cm,y_cm,vx_cm_s,vy_cm_s
2.800000000000000266e-01,1.000000000000000000e+00,1.218688329258442060e+01,3.924651119885827488e-01,7.002943933889638117e+01,-1.477836214743275312e+00
2.899999999999999800e-01,1.000000000000000000e+00,1.303574113406388335e+01,3.875429658012323753e-01,9.461956400760864483e+01,-6.340713646138644854e-01
2.999999999999999889e-01,1.000000000000000000e+00,1.404017365558964414e+01,3.712812809095638600e-01,1.037236836320105198e+02,-2.140351418808028594e+00
3.099999999999999978e-01,1.000000000000000000e+00,1.513213516886570709e+01,3.554858159616853808e-01,1.090810825749640713e+02,-1.583814070520931594e+00
3.200000000000000067e-01,1.000000000000000000e+00,1.627353846254639791e+01,3.341885657895979911e-01,1.176407347087360620e+02,-2.308695340539058893e+00
3.300000000000000155e-01,1.000000000000000000e+00,1.742502833452338962e+01,3.205979279024600004e-01,1.132544274658449979e+02,-1.096501328729149405e+00
3.400000000000000244e-01,1.000000000000000000e+00,1.859236435758892370e+01,3.002145305446792256e-01,1.186062363687340451e+02,-2.332662066379350474e+00
3.500000000000000333e-01,1.000000000000000000e+00,1.974549792589895958e+01,2.820257679652564131e-01,1.133625588227526748e+02,-1.661895954432216715e+00
3.599999999999999867e-01,1.000000000000000000e+00,2.088452109008742497e+01,2.536261211180315112e-01,1.139631610823249588e+02,-3.596056586117578391e+00
3.699999999999999956e-01,1.000000000000000000e+00,2.203011641367409723e+01,2.368209840391003462e-01,1.149669115934335792e+02,-1.007307283078533233e+00
3.800000000000000044e-01,1.000000000000000000e+00,2.318652093467684949e+01,2.033267309383315069e-01,1.135738779059013410e+02,-3.750974984603595797e+00
3.900000000000000133e-01,1.000000000000000000e+00,2.434539217818436185e+01,1.934981182064913485e-01,1.137770655188295592e+02,-8.457056285926576322e-01
4.000000000000000222e-01,1.000000000000000000e+00,2.551740945810143657e+01,1.698869934734137943e-01,1.191728398409660912e+02,-2.858856396812675449e+00
4.100000000000000311e-01,1.000000000000000000e+00,2.668440190792167854e+01,1.507784576597800130e-01,1.150222795319392048e+02,-1.461954548599878168e+00
4.199999999999999845e-01,1.000000000000000000e+00,2.788413193215957264e+01,1.264636703097134773e-01,1.202296733316149329e+02,-2.208110762948650940e+00
4.299999999999999933e-01,1.000000000000000000e+00,2.906833098612152710e+01,1.011982420527104548e-01,1.171948027683574338e+02,-2.712552315247841683e+00
4.400000000000000022e-01,1.000000000000000000e+00,3.027348352399338793e+01,8.849919462159616668e-02,1.221616647563228355e+02,-3.949418957127864283e-01
4.500000000000000111e-01,1.000000000000000000e+00,3.146698175581729728e+01,7.790701944441745519e-02,1.174758175784102150e+02,-1.254575876069981000e+00
4.600000000000000200e-01,1.000000000000000000e+00,3.265484740493838700e+01,8.235516944519044591e-02,1.171304897369135176e+02,6.966660750352581255e-01
4.700000000000000289e-01,1.000000000000000000e+00,3.385979248725600854e+01,7.598080139237486930e-02,1.223163203040664087e+02,-1.203183251954755395e+00
4.799999999999999822e-01,1.000000000000000000e+00,3.506075976980070408e+01,6.830096976724610303e-02,1.212601253796826768e+02,-1.383012763250127897e+00
4.899999999999999911e-01,1.000000000000000000e+00,3.628143380210760682e+01,5.210742063142795311e-02,1.222000873183027352e+02,-1.770144856452232185e+00
5.000000000000000000e-01,1.000000000000000000e+00,3.749485128140134549e+01,2.659937564042437821e-02,1.220802065210640563e+02,-2.233173634382524586e+00
5.100000000000000089e-01,1.000000000000000000e+00,3.871384228819859885e+01,6.898028340541307452e-03,1.217453937420049641e+02,-1.997945152367600841e+00
5.200000000000000178e-01,1.000000000000000000e+00,3.992700383256699581e+01,-1.347843499185551880e-02,1.210275226521781349e+02,-2.030822603602804755e+00
5.300000000000000266e-01,1.000000000000000000e+00,4.111350531817290488e+01,-3.170328392193463157e-02,1.168215296121147162e+02,-1.754751824156447482e+00
5.400000000000000355e-01,1.000000000000000000e+00,4.232153031103545970e+01,-5.557753260809298462e-02,1.231048524520578269e+02,-2.702859392232134450e+00
5.500000000000000444e-01,1.000000000000000000e+00,4.352738757620303289e+01,-7.732157534495190387e-02,1.215935757902859535e+02,-2.261006877290755224e+00
5.600000000000000533e-01,1.000000000000000000e+00,4.474653414330073531e+01,-1.004410595640644471e-01,1.215320746642570668e+02,-2.213689548083897396e+00
5.700000000000000622e-01,1.000000000000000000e+00,4.596052560350917560e+01,-1.209474448394432522e-01,1.213103620574698169e+02,-1.973926086764112409e+00
5.799999999999999600e-01,1.000000000000000000e+00,4.715289293780207203e+01,-1.429823069480628817e-01,1.176263574491706692e+02,-2.417406961732674553e+00
5.899999999999999689e-01,1.000000000000000000e+00,4.835465659100168523e+01,-1.573596866229182989e-01,1.220339102721117257e+02,-8.417403749494740683e-01
5.999999999999999778e-01,1.000000000000000000e+00,4.955210403375303230e+01,-1.694458589548271943e-01,1.207200038640556414e+02,-7.601305318698153846e-01
6.099999999999999867e-01,1.000000000000000000e+00,5.075853837540865499e+01,-1.749333160340381110e-01,1.202285166320891818e+02,-4.687241079576280334e-01
6.199999999999999956e-01,1.000000000000000000e+00,5.196056695706585771e+01,-1.780758135886585658e-01,1.202027664357697461e+02,-2.253266810802703191e-01
6.300000000000000044e-01,1.000000000000000000e+00,5.316690749384730452e+01,-1.844279229137678611e-01,1.207178767627726614e+02,-9.083360485593825473e-01
6.400000000000000133e-01,1.000000000000000000e+00,5.434793599279973364e+01,-1.954698250788023950e-01,1.162382127492431323e+02,-1.314448225342849552e+00
6.500000000000000222e-01,1.000000000000000000e+00,5.555208252527377510e+01,-2.082200671091275213e-01,1.224576550666486128e+02,-1.462575257536922635e+00
6.600000000000000311e-01,1.000000000000000000e+00,5.672755075125457580e+01,-2.305196836380576653e-01,1.165913601766238799e+02,-1.571621723896932776e+00
6.700000000000000400e-01,1.000000000000000000e+00,5.793661589876869300e+01,-2.417651099127827163e-01,1.212369446343788582e+02,-9.976272873834072241e-01
6.800000000000000488e-01,1.000000000000000000e+00,5.912509682082812645e+01,-2.410468218018878006e-01,1.169425959037538405e+02,9.265684982945714410e-01
6.900000000000000577e-01,1.000000000000000000e+00,6.034091633569997981e+01,-2.497669791010571072e-01,1.213233786197530577e+02,-4.308457090492940900e-01
7.000000000000000666e-01,1.000000000000000000e+00,6.155488209097741503e+01,-2.459238746649304863e-01,1.213931055140337065e+02,7.654409307882888980e-01
7.099999999999999645e-01,1.000000000000000000e+00,6.274903233591611951e+01,-2.437368373081355288e-01,1.176245517677506029e+02,5.938206759507277943e-02
7.199999999999999734e-01,1.000000000000000000e+00,6.396266580305811544e+01,-2.367521476856702112e-01,1.231570297558611742e+02,1.163461373051589032e+00
7.299999999999999822e-01,1.000000000000000000e+00,6.516765505520432100e+01,-2.325955472471751551e-01,1.185720139073179240e+02,9.042794491929598277e-02
7.399999999999999911e-01,1.000000000000000000e+00,6.639129862906798962e+01,-2.215543582300059655e-01,1.231284269466410564e+02,1.174764633037020944e+00
7.500000000000000000e-01,1.000000000000000000e+00,6.762176447662675116e+01,-2.135966986684167401e-01,1.229031284261325112e+02,5.069531211342355181e-01
7.600000000000000089e-01,1.000000000000000000e+00,6.882638363398466197e+01,-2.086789455299369322e-01,1.185552788945347373e+02,3.846051799457806952e-01
7.700000000000000178e-01,1.000000000000000000e+00,7.004579608937154944e+01,-2.146218161783155221e-01,1.238182051925379028e+02,-1.099618847262913368e+00
7.800000000000000266e-01,1.000000000000000000e+00,7.126052241353148986e+01,-2.206062148516991506e-01,1.225876713949326700e+02,-8.994311169128867967e-01
7.900000000000000355e-01,1.000000000000000000e+00,7.246567472607291904e+01,-2.389763475744171028e-01,1.185118103629766608e+02,-2.445052003510966188e+00
8.000000000000000444e-01,1.000000000000000000e+00,7.368940734896631284e+01,-2.465131472122654988e-01,1.228455853617487605e+02,-4.950941306291405941e-01
8.100000000000000533e-01,1.000000000000000000e+00,7.491973621440439501e+01,-2.520295243037913302e-01,1.227461306606639795e+02,-3.420905012842109794e-01
8.200000000000000622e-01,1.000000000000000000e+00,7.613993443380518045e+01,-2.510062278948718695e-01,1.219660762246292478e+02,2.508248822427250890e-01
8.300000000000000711e-01,1.000000000000000000e+00,7.735678332240743771e+01,-2.480705666736164605e-01,1.214903779415522678e+02,3.077214470075024799e-01
8.399999999999999689e-01,1.000000000000000000e+00,7.854597918714219418e+01,-2.478713020004659484e-01,1.169693383012788672e+02,-1.536918505538817925e-01
8.499999999999999778e-01,1.000000000000000000e+00,7.975292946296306695e+01,-2.509438824772619037e-01,1.227019942696383907e+02,-5.199386159700833954e-01
8.599999999999999867e-01,1.000000000000000000e+00,8.095405255571213843e+01,-2.619128634131778210e-01,1.185320761628274653e+02,-1.539555508018729757e+00
8.699999999999999956e-01,1.000000000000000000e+00,8.218931145284828688e+01,-2.786579082763261939e-01,1.236680489402229171e+02,-1.951216811807878537e+00
8.800000000000000044e-01,1.000000000000000000e+00,8.342756925686441605e+01,-3.007993283491646186e-01,1.237563407475209800e+02,-2.370897003388334756e+00
8.900000000000000133e-01,1.000000000000000000e+00,8.463731400058202325e+01,-3.291307588592373712e-01,1.192373132035952352e+02,-3.357831244981753116e+00
9.000000000000000222e-01,1.000000000000000000e+00,8.586334554137306441e+01,-3.460676093011837429e-01,1.244128833471751960e+02,-8.653698909547612450e-01
9.100000000000000311e-01,1.000000000000000000e+00,8.706871538406149114e+01,-3.593288872439064363e-01,1.193313622562491645e+02,-6.669281200540311261e-01
9.200000000000000400e-01,1.000000000000000000e+00,8.829891846434823321e+01,-3.734068789684304446e-01,1.248491821881822403e+02,-1.791003574006059695e+00
9.300000000000000488e-01,1.000000000000000000e+00,8.952400333643444696e+01,-3.857362380535833690e-01,1.234074400529880933e+02,-1.447987882215377553e+00
9.400000000000000577e-01,1.000000000000000000e+00,9.075567641303391042e+01,-4.015408661117208511e-01,1.226215931118042022e+02,-1.616312917122965320e+00
9.500000000000000666e-01,1.000000000000000000e+00,9.197892154445258939e+01,-4.166108652544301405e-01,1.220830621138197785e+02,-1.569406301830856387e+00
9.599999999999999645e-01,1.000000000000000000e+00,9.319938270387346790e+01,-4.347301798191181010e-01,1.220445769047163083e+02,-1.931841705709484769e+00
9.699999999999999734e-01,1.000000000000000000e+00,9.439863574981318095e+01,-4.596507967782466619e-01,1.180662702559966135e+02,-2.880419604647367127e+00
9.799999999999999822e-01,1.000000000000000000e+00,9.560768110086092975e+01,-4.839278089304019925e-01,1.226475712513978067e+02,-2.136503960096056254e+00
9.899999999999999911e-01,1.000000000000000000e+00,9.681149678272552705e+01,-5.099103345805757748e-01,1.214959120888328528e+02,-2.401045290874679772e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.802728474662885105e+01,-5.316516915069748883e-01,1.214326427118489704e+02,-2.131007700478958267e+00
1.010000000000000009e+00,1.000000000000000000e+00,9.924326551108211447e+01,-5.474966416233386646e-01,1.216594592258800134e+02,-1.235368979504973819e+00
1.020000000000000018e+00,1.000000000000000000e+00,1.004221220710436882e+02,-5.630809703011913081e-01,1.145637558910260765e+02,-1.752374806281133734e+00
1.030000000000000027e+00,1.000000000000000000e+00,1.016417841632399899e+02,-5.661956480437594363e-01,1.262238865791971705e+02,4.092752738002381485e-01
1.040000000000000036e+00,1.000000000000000000e+00,1.028655825938264741e+02,-5.707010819673432600e-01,1.233904592272970575e+02,-6.874908123373880686e-01
1.050000000000000044e+00,1.000000000000000000e+00,1.040956950348236347e+02,-5.793692535626081552e-01,1.223339347862055178e+02,-1.084661912575210829e+00
1.060000000000000053e+00,1.000000000000000000e+00,1.053161422735206401e+02,-5.915705777437173518e-01,1.216899164393572477e+02,-1.470565178030379005e+00
1.070000000000000062e+00,1.000000000000000000e+00,1.065339977060481402e+02,-6.089563858143989261e-01,1.217943859774482291e+02,-2.009576339403445822e+00
1.080000000000000071e+00,1.000000000000000000e+00,1.077451090839104211e+02,-6.289000242584344980e-01,1.209706869182340512e+02,-2.246685558934784499e+00
1.090000000000000080e+00,1.000000000000000000e+00,1.089322392607916328e+02,-6.525948078797155771e-01,1.167513901083511882e+02,-2.571343307256695354e+00
1.100000000000000089e+00,1.000000000000000000e+00,1.101378843380283854e+02,-6.712964513675796496e-01,1.225129774527935638e+02,-1.555069316886713571e+00
1.110000000000000098e+00,1.000000000000000000e+00,1.113136233618041473e+02,-7.025680052810059362e-01,1.141616050543013472e+02,-4.077626427175530921e+00
1.120000000000000107e+00,1.000000000000000000e+00,1.125457526657738470e+02,-7.103436727241378978e-01,1.232957660390336230e+02,-8.258646078957093684e-01
1.130000000000000115e+00,1.000000000000000000e+00,1.137735688969434165e+02,-7.226269200595559772e-01,1.225131823433894596e+02,-1.236936750412114261e+00
1.140000000000000124e+00,1.000000000000000000e+00,1.149755065893020429e+02,-7.358339141189196297e-01,1.182951306642713689e+02,-1.316268475497607282e+00
1.150000000000000133e+00,1.000000000000000000e+00,1.161936376327573157e+02,-7.584397169175229880e-01,1.237865853638200093e+02,-2.923215217892221496e+00
1.159999999999999920e+00,1.000000000000000000e+00,1.174198773571459640e+02,-7.803009293701060889e-01,1.233359797800237061e+02,-2.114448242516611121e+00
1.169999999999999929e+00,1.000000000000000000e+00,1.186284118625566180e+02,-8.030773049844890377e-01,1.188083938387019174e+02,-2.479441061972120774e+00
1.179999999999999938e+00,1.000000000000000000e+00,1.198464655704371040e+02,-8.158232968261464046e-01,1.233684545090694371e+02,-5.375970990152167950e-01
1.189999999999999947e+00,1.000000000000000000e+00,1.210535970187916206e+02,-8.280373699422515221e-01,1.217554420033828393e+02,-6.745437183881646259e-01
1.199999999999999956e+00,1.000000000000000000e+00,1.222693186053440400e+02,-8.357076147158224444e-01,1.211731111026283543e+02,-1.006074086840379245e+00
1.209999999999999964e+00,1.000000000000000000e+00,1.234767882326947728e+02,-8.491980318315273113e-01,1.205650514522799313e+02,-1.636933525575311243e+00
1.219999999999999973e+00,1.000000000000000000e+00,1.246616248604642436e+02,-8.664414543515278622e-01,1.169083946215831986e+02,-1.924342994092698156e+00
1.229999999999999982e+00,1.000000000000000000e+00,1.258736041511142787e+02,-8.828273622445157454e-01,1.234124763936194142e+02,-1.592359712284852735e+00
1.239999999999999991e+00,1.000000000000000000e+00,1.270795921930583745e+02,-8.993129165798410263e-01,1.186455823310786428e+02,-1.774900125375242999e+00
1.250000000000000000e+00,1.000000000000000000e+00,1.282994694223223178e+02,-9.295423438400627347e-01,1.232232847956317130e+02,-2.560147769569339093e+00
1.260000000000000009e+00,1.000000000000000000e+00,1.295197652317823156e+02,-9.515440245067918745e-01,1.230507068616431070e+02,-3.234607436141596182e+00
1.270000000000000018e+00,1.000000000000000000e+00,1.307505731117410619e+02,-9.894886689721983375e-01,1.225369275386653243e+02,-4.227592572874759647e+00
1.280000000000000027e+00,1.000000000000000000e+00,1.319683912349365187e+02,-1.035825549032696413e+00,1.213321477233963321e+02,-4.978092745399359309e+00
1.290000000000000036e+00,1.000000000000000000e+00,1.331543150358069170e+02,-1.091521492274995841e+00,1.166557773509976812e+02,-6.052156656038816251e+00
1.300000000000000044e+00,1.000000000000000000e+00,1.343559866402642058e+02,-1.145108136703059776e+00,1.222037013166331008e+02,-5.042962479883239091e+00
1.310000000000000053e+00,1.000000000000000000e+00,1.355443117783944444e+02,-1.200583786139200360e+00,1.168835752268015540e+02,-5.601967596055209775e+00
1.320000000000000062e+00,1.000000000000000000e+00,1.367468949039300412e+02,-1.244277558571981190e+00,1.221023847518448662e+02,-3.681635247800372213e+00
1.330000000000000071e+00,1.000000000000000000e+00,1.379596129303911312e+02,-1.279277888226324489e+00,1.210533312949548161e+02,-3.063259957490426455e+00
1.340000000000000080e+00,1.000000000000000000e+00,1.391462918415539036e+02,-1.302850057710913223e+00,1.166451422220474115e+02,-1.881643429491232089e+00
1.350000000000000089e+00,1.000000000000000000e+00,1.403419668190418577e+02,-1.337386496015227078e+00,1.222800143493185487e+02,-3.183539515649304263e+00
1.360000000000000098e+00,1.000000000000000000e+00,1.415482266207558268e+02,-1.364675474925150622e+00,1.200901156657014468e+02,-2.753160534172256924e+00
1.370000000000000107e+00,1.000000000000000000e+00,1.427425630297294390e+02,-1.390159452762018466e+00,1.189793200664452684e+02,-2.464774705255743381e+00
1.380000000000000115e+00,1.000000000000000000e+00,1.439312605432887437e+02,-1.413619939168748507e+00,1.187357443400778294e+02,-2.308066788804052916e+00
1.390000000000000124e+00,1.000000000000000000e+00,1.451005355212630832e+02,-1.441052905909661286e+00,1.153820352167260808e+02,-3.139670456896644257e+00
1.400000000000000133e+00,1.000000000000000000e+00,1.462974307001536545e+02,-1.461032902192916261e+00,1.218543348779793689e+02,-1.716007503822757796e+00
1.409999999999999920e+00,1.000000000000000000e+00,1.474869443350560800e+02,-1.490813255695691453e+00,1.172009316345752552e+02,-3.448703206261599874e+00
1.419999999999999929e+00,1.000000000000000000e+00,1.486756863554129779e+02,-1.504532067295684117e+00,1.175573019835872657e+02,-8.353396788733841172e-01
1.429999999999999938e+00,1.000000000000000000e+00,1.498972501407219795e+02,-1.528381356478988318e+00,1.217650819404710489e+02,-2.250753354633357350e+00
1.439999999999999947e+00,1.000000000000000000e+00,1.511107883074150209e+02,-1.548041869184833663e+00,1.211885082472149406e+02,-1.833417811430016364e+00
1.449999999999999956e+00,1.000000000000000000e+00,1.523254950488390307e+02,-1.563049423974689489e+00,1.216339730242884229e+02,-1.210555447463397272e+00
1.459999999999999964e+00,1.000000000000000000e+00,1.535194092377783477e+02,-1.577707214290381410e+00,1.175972453957221546e+02,-1.467450305417630219e+00
1.469999999999999973e+00,1.000000000000000000e+00,1.547290475503381515e+02,-1.580187831164275858e+00,1.228446632536389131e+02,5.335440374745151759e-01
1.479999999999999982e+00,1.000000000000000000e+00,1.559277953454947294e+02,-1.582615070851420391e+00,1.179088166622035629e+02,-6.400533327513472370e-01
1.489999999999999991e+00,1.000000000000000000e+00,1.571186378458385491e+02,-1.573468005546573734e+00,1.174551407837303856e+02,1.201970130237617562e+00
1.500000000000000000e+00,1.000000000000000000e+00,1.583254627002366419e+02,-1.575511076266864041e+00,1.224890381369822592e+02,-8.515693726026936083e-01
1.510000000000000009e+00,1.000000000000000000e+00,1.595436457579910154e+02,-1.581862119633474117e+00,1.218131034412763114e+02,-9.446795902815238177e-01
1.520000000000000018e+00,1.000000000000000000e+00,1.607673313249723321e+02,-1.593410140438343170e+00,1.227031377020222180e+02,-1.357422871036506162e+00
1.530000000000000027e+00,1.000000000000000000e+00,1.619828928777194506e+02,-1.614156337083844761e+00,1.228197755251015053e+02,-1.503531652818001607e+00
1.540000000000000036e+00,1.000000000000000000e+00,1.632103389916348135e+02,-1.627641022117308767e+00,1.224363643047577739e+02,-1.449881316859973346e+00
1.550000000000000044e+00,1.000000000000000000e+00,1.644357565572423141e+02,-1.640582653820381598e+00,1.223255848295108308e+02,-1.354352307847133119e+00
1.560000000000000053e+00,1.000000000000000000e+00,1.656353642235029611e+02,-1.652113332104259147e+00,1.181272388787339338e+02,-9.633025635961103283e-01
1.570000000000000062e+00,1.000000000000000000e+00,1.668560212264228539e+02,-1.668703282536091903e+00,1.243010798410506510e+02,-2.017060154787611026e+00
1.580000000000000071e+00,1.000000000000000000e+00,1.680852298905380167e+02,-1.683778908521533113e+00,1.226042801587141611e+02,-1.419137267482421194e+00
1.590000000000000080e+00,1.000000000000000000e+00,1.693082571143582697e+02,-1.695619839465630330e+00,1.221565409027335818e+02,-1.001778719696996944e+00
1.600000000000000089e+00,1.000000000000000000e+00,1.705078833041787618e+02,-1.706943123079220026e+00,1.182895729334606330e+02,-1.228819785754390770e+00
1.610000000000000098e+00,1.000000000000000000e+00,1.717229203567665365e+02,-1.713197850835666225e+00,1.235317488621299162e+02,-9.536435977321577884e-02
1.620000000000000107e+00,1.000000000000000000e+00,1.729239964603126509e+02,-1.717367674080495510e+00,1.180840198461641961e+02,-5.949033852070194639e-01
1.630000000000000115e+00,1.000000000000000000e+00,1.741328915022592696e+02,-1.714256324845260249e+00,1.223749088447826381e+02,8.238113301000309363e-01
1.640000000000000124e+00,1.000000000000000000e+00,1.753474150259001192e+02,-1.705720419081547146e+00,1.212203779761650537e+02,1.054025315584436573e+00
1.650000000000000133e+00,1.000000000000000000e+00,1.765600255847545270e+02,-1.696163194612301695e+00,1.212793527063699344e+02,7.645162127442568512e-01
1.660000000000000142e+00,1.000000000000000000e+00,1.777555429939199030e+02,-1.688611311632173484e+00,1.179534726586371534e+02,7.046017030037250439e-01
1.669999999999999929e+00,1.000000000000000000e+00,1.789690576561793307e+02,-1.685606398157741381e+00,1.232579182915608129e+02,7.107005265240187719e-02
1.679999999999999938e+00,1.000000000000000000e+00,1.801687254109044432e+02,-1.681911136200991974e+00,1.179360127822347550e+02,4.557645679686693763e-01
1.689999999999999947e+00,1.000000000000000000e+00,1.813697730897529823e+02,-1.682425888795376467e+00,1.227901222785418724e+02,4.092765729992776103e-01
1.699999999999999956e+00,1.000000000000000000e+00,1.825822154319330650e+02,-1.673135466853457487e+00,1.218686556103607472e+02,1.124398714644424535e+00
1.709999999999999964e+00,1.000000000000000000e+00,1.837863524480469835e+02,-1.651468842232657552e+00,1.217370380716647844e+02,1.956045065350038525e+00
1.719999999999999973e+00,1.000000000000000000e+00,1.850126683064847555e+02,-1.628871113455786501e+00,1.228572728468871844e+02,2.662212447147665806e+00
1.729999999999999982e+00,1.000000000000000000e+00,1.862400074407989052e+02,-1.599702928365114962e+00,1.225622317329197557e+02,3.124053520424237451e+00
1.739999999999999991e+00,1.000000000000000000e+00,1.874449854155169533e+02,-1.573262908419199801e+00,1.186581806979659461e+02,2.421785993304323092e+00
1.750000000000000000e+00,1.000000000000000000e+00,1.886732253491460085e+02,-1.542160919796825125e+00,1.246708419252110929e+02,3.586987810639834073e+00
1.760000000000000009e+00,1.000000000000000000e+00,1.899067211284471455e+02,-1.508075010642191183e+00,1.231566258892508472e+02,3.554027019085300054e+00
1.770000000000000018e+00,1.000000000000000000e+00,1.911295617506320639e+02,-1.473911103391859934e+00,1.220142729158855417e+02,3.198713981360605363e+00
1.780000000000000027e+00,1.000000000000000000e+00,1.923267217771487765e+02,-1.439481124275564961e+00,1.179367042926960778e+02,3.521331544695016635e+00
1.790000000000000036e+00,1.000000000000000000e+00,1.935403844560838138e+02,-1.413306165570894501e+00,1.234097110805941924e+02,2.092828468396731090e+00
1.800000000000000044e+00,1.000000000000000000e+00,1.947473107706053099e+02,-1.386580567074124248e+00,1.187747772904637031e+02,2.985893847517823829e+00
1.810000000000000053e+00,1.000000000000000000e+00,1.959434954252394903e+02,-1.370607333019539853e+00,1.196786934609598916e+02,8.351852922065617912e-01
1.820000000000000062e+00,1.000000000000000000e+00,1.971772181464002358e+02,-1.336393888044870693e+00,1.231474763839892859e+02,3.642416471899879937e+00
1.830000000000000071e+00,1.000000000000000000e+00,1.984067905098211497e+02,-1.297614800713266181e+00,1.227478006939283688e+02,4.225313415856548183e+00
1.840000000000000080e+00,1.000000000000000000e+00,1.996346984369019140e+02,-1.252811375402298477e+00,1.227919653410044560e+02,4.744450040909340416e+00
1.850000000000000089e+00,1.000000000000000000e+00,2.008462194786941097e+02,-1.194758792483392229e+00,1.196518414776936936e+02,6.576733424460750044e+00
1.860000000000000098e+00,1.000000000000000000e+00,2.020547635303711047e+02,-1.154184867588847307e+00,1.187136673216284919e+02,4.057759136927069576e+00
1.870000000000000107e+00,1.000000000000000000e+00,2.032751655565188003e+02,-1.105924196295633655e+00,1.239258446696721307e+02,4.841789585296308651e+00
1.880000000000000115e+00,1.000000000000000000e+00,2.044901732884219427e+02,-1.061435675787746780e+00,1.225003165820004511e+02,4.402095128531716028e+00
1.890000000000000124e+00,1.000000000000000000e+00,2.057156850134793729e+02,-1.020794794203796263e+00,1.221429455553588070e+02,3.806018076305148323e+00
